Application_ID,Age,Education_Level,Course_Type,Course_Duration,Institution_Type,Institution_Location,Admission_Status,Annual_Course_Fee,Total_Education_Cost,Loan_Amount,Family_Monthly_Income,Family_Existing_EMI,Number_of_Dependents,Previous_Academic_Performance,Co_Applicant_Occupation,Co_Applicant_Monthly_Income,Loan_Approval
EL100020,17,Undergraduate,Other Professional,2,University,Urban,Confirmed,138000,295000,175000,19900,500,4,Good,Salaried,16100,Approved
EL100021,21,Undergraduate,Arts,1,University,Urban,Confirmed,81000,87000,85000,60800,3700,1,Good,Salaried,14900,Rejected
EL100022,17,Postgraduate,Computer Science,3,College,Rural,Confirmed,219000,777000,505000,29900,2800,2,Excellent,Self Employed,29400,Approved
EL100023,21,Diploma,Law,2,Private,Semi Urban,Confirmed,145000,323000,228000,28800,4400,0,Good,Professional,32100,Approved
EL100024,25,Diploma,Management,3,Private,Urban,Confirmed,454000,1612000,893000,69200,8400,3,Average,Professional,49700,Approved
EL100025,25,Postgraduate,Engineering,4,Government,Urban,Provisional,123000,534000,503000,33800,8500,2,Average,Private Employee,42800,Rejected
EL100026,25,Postgraduate,Science,1,Government,Urban,Confirmed,77000,93000,86000,65000,14500,1,Average,Private Employee,28500,Approved
EL100027,21,Diploma,Engineering,3,Private,Urban,Confirmed,184000,615000,400000,23700,1500,3,Average,Government Employee,52600,Approved
EL100028,25,Professional Course,Science,3,University,Urban,Provisional,76000,255000,188000,33800,13400,2,Excellent,Self Employed,24500,Rejected
EL100029,23,Postgraduate,Engineering,1,College,Rural,Provisional,138000,150000,127000,25500,3100,3,Good,Professional,25100,Rejected
EL100030,19,Diploma,Medical,4,Private,Urban,Provisional,867000,3788000,2573000,52800,13000,2,Excellent,Not Applicable,0,Rejected
EL100031,22,Undergraduate,Management,2,Private,Semi Urban,Confirmed,489000,1144000,1092000,36200,3800,4,Excellent,Not Applicable,0,Rejected
EL100032,24,Postgraduate,Management,5,College,Semi Urban,Provisional,237000,1382000,1015000,57800,10800,2,Excellent,Self Employed,51100,Rejected
EL100033,17,Professional Course,Medical,4,University,Urban,Confirmed,461000,2240000,1505000,43300,9300,2,Below Average,Salaried,26900,Approved
EL100034,17,Undergraduate,Engineering,2,University,Urban,Provisional,181000,426000,218000,15200,0,0,Good,Not Applicable,0,Rejected
EL100035,20,Undergraduate,Engineering,5,Private,Urban,Confirmed,187000,1062000,590000,35200,10100,3,Good,Salaried,18500,Rejected
EL100036,17,Postgraduate,Arts,3,Private,Semi Urban,Confirmed,174000,632000,530000,18600,1100,2,Average,Government Employee,48800,Approved
EL100037,17,Professional Course,Computer Science,2,University,Rural,Confirmed,191000,402000,316000,47700,4700,2,Average,Professional,21500,Approved
EL100038,20,Undergraduate,Engineering,3,Government,Urban,Confirmed,147000,525000,458000,53000,4000,3,Excellent,Private Employee,9900,Rejected
EL100039,24,PhD,Engineering,6,Private,Urban,Confirmed,279000,1940000,1291000,55800,4400,2,Good,Government Employee,23300,Approved
EL100040,24,Undergraduate,Medical,4,Government,Urban,Provisional,469000,2053000,1034000,37700,3100,2,Average,Private Employee,18600,Rejected
EL100041,22,PhD,Management,6,University,Urban,Provisional,366000,2586000,1747000,17700,400,3,Good,Self Employed,6700,Rejected
EL100042,22,Professional Course,Computer Science,5,Private,Rural,Provisional,196000,1222000,1222000,44600,8900,3,Good,Government Employee,21700,Rejected
EL100043,28,Diploma,Engineering,5,Government,Urban,Confirmed,102000,571000,346000,49200,6900,3,Average,Private Employee,45700,Approved
EL100044,19,Professional Course,Other Professional,2,Private,Urban,Confirmed,137000,323000,240000,36600,4300,4,Good,Government Employee,37300,Approved
EL100045,22,Professional Course,Medical,5,Government,Semi Urban,Confirmed,268000,1525000,592000,41900,9300,0,Good,Private Employee,37300,Approved
EL100046,19,Professional Course,Management,2,University,Urban,Confirmed,292000,659000,443000,15600,4500,2,Excellent,Salaried,65100,Rejected
EL100047,17,Postgraduate,Arts,5,College,Urban,Confirmed,138000,767000,528000,41500,0,0,Below Average,Self Employed,21600,Approved
EL100048,25,Postgraduate,Management,2,Private,Urban,Confirmed,342000,750000,600000,38000,10500,3,Below Average,Government Employee,15800,Rejected
EL100049,20,Undergraduate,Engineering,2,Government,Semi Urban,Confirmed,150000,329000,231000,21900,2800,2,Good,Private Employee,39000,Approved
EL100050,23,Undergraduate,Management,3,College,Rural,Confirmed,265000,958000,500000,52300,400,3,Good,Professional,36200,Rejected
EL100051,20,Postgraduate,Computer Science,2,College,Rural,Confirmed,145000,323000,210000,31300,5200,0,Excellent,Salaried,14800,Approved
EL100052,25,Undergraduate,Science,4,University,Semi Urban,Confirmed,77000,356000,256000,45000,5400,2,Average,Business Owner,27000,Approved
EL100053,18,Professional Course,Management,2,Private,Semi Urban,Confirmed,313000,684000,411000,51200,10600,0,Excellent,Government Employee,40000,Approved
EL100054,25,Undergraduate,Law,3,Government,Semi Urban,Confirmed,95000,311000,194000,47300,6800,1,Average,Private Employee,34600,Approved
EL100055,24,Undergraduate,Computer Science,5,College,Urban,Confirmed,274000,1599000,1440000,20500,3300,2,Below Average,Self Employed,44500,Rejected
EL100056,17,Undergraduate,Arts,4,Private,Urban,Provisional,153000,714000,469000,33100,3000,2,Excellent,Not Applicable,0,Rejected
EL100057,19,Undergraduate,Engineering,4,Private,Urban,Confirmed,191000,879000,717000,116400,4400,2,Good,Professional,13600,Approved
EL100058,25,Undergraduate,Law,5,University,Urban,Confirmed,112000,666000,482000,80600,15900,3,Excellent,Not Applicable,0,Rejected
EL100059,27,Postgraduate,Medical,4,University,Rural,Confirmed,690000,3250000,1838000,60900,5000,1,Good,Salaried,47800,Approved
EL100060,24,Undergraduate,Management,3,Government,Semi Urban,Confirmed,172000,562000,393000,46000,7600,2,Below Average,Private Employee,52600,Rejected
EL100061,20,Diploma,Computer Science,2,College,Rural,Confirmed,178000,378000,300000,24500,6500,1,Excellent,Professional,27100,Approved
EL100062,18,Postgraduate,Other Professional,2,Private,Urban,Provisional,174000,384000,384000,37000,4300,1,Average,Professional,68300,Rejected
EL100063,23,Diploma,Management,2,Government,Urban,Provisional,229000,520000,330000,32500,6300,3,Good,Private Employee,27200,Approved
EL100064,20,Diploma,Medical,4,Government,Rural,Confirmed,301000,1314000,969000,38500,4900,4,Good,Government Employee,22400,Rejected
EL100065,20,Undergraduate,Other Professional,2,Private,Urban,Confirmed,157000,360000,319000,19500,1900,1,Excellent,Private Employee,13700,Rejected
EL100066,20,Undergraduate,Science,4,Private,Urban,Confirmed,130000,550000,516000,64700,0,1,Average,Self Employed,28500,Rejected
EL100067,24,PhD,Commerce,6,Government,Urban,Provisional,77000,529000,345000,12000,1500,3,Average,Business Owner,53300,Rejected
EL100068,27,Diploma,Management,3,Private,Rural,Provisional,311000,1045000,759000,61600,7100,4,Excellent,Government Employee,59700,Approved
EL100069,25,Undergraduate,Management,4,Private,Urban,Provisional,533000,2648000,2428000,62200,3200,2,Good,Salaried,53500,Approved
EL100070,21,Postgraduate,Other Professional,2,Private,Rural,Confirmed,151000,370000,306000,128500,0,3,Good,Not Applicable,0,Approved
EL100071,18,Undergraduate,Engineering,4,College,Urban,Provisional,127000,630000,570000,35400,0,0,Excellent,Private Employee,71600,Rejected
EL100072,23,Undergraduate,Arts,3,Private,Urban,Confirmed,147000,521000,482000,30900,9000,1,Good,Professional,17500,Rejected
EL100073,27,Undergraduate,Commerce,4,College,Semi Urban,Confirmed,95000,473000,394000,42600,5700,0,Excellent,Professional,57100,Approved
EL100074,25,Diploma,Other Professional,4,Private,Urban,Confirmed,180000,783000,604000,53100,0,2,Average,Not Applicable,0,Approved
EL100075,22,Undergraduate,Computer Science,4,Government,Urban,Confirmed,112000,518000,336000,38400,2900,2,Good,Government Employee,33400,Approved
EL100076,19,Postgraduate,Medical,4,Government,Semi Urban,Confirmed,327000,1568000,1119000,22200,2900,2,Average,Business Owner,13600,Approved
EL100077,22,Undergraduate,Arts,3,College,Urban,Confirmed,124000,426000,308000,53100,9000,1,Below Average,Business Owner,35900,Rejected
EL100078,25,Undergraduate,Other Professional,3,Government,Urban,Confirmed,60000,197000,183000,40100,4400,0,Good,Salaried,56100,Approved
EL100079,22,Undergraduate,Law,4,Government,Urban,Confirmed,97000,458000,356000,24200,7500,2,Good,Private Employee,9200,Rejected
EL100080,21,Postgraduate,Medical,4,Private,Urban,Confirmed,837000,4166000,3241000,17800,5600,2,Below Average,Private Employee,46100,Rejected
EL100081,19,PhD,Management,6,University,Urban,Confirmed,360000,2494000,1499000,137900,22700,2,Excellent,Salaried,8500,Approved
EL100082,30,Diploma,Arts,1,Private,Semi Urban,Confirmed,128000,141000,131000,60800,5900,2,Excellent,Government Employee,13600,Approved
EL100083,18,Undergraduate,Computer Science,5,Government,Semi Urban,Confirmed,144000,762000,484000,53100,8700,2,Good,Private Employee,28200,Rejected
EL100084,18,Undergraduate,Engineering,5,Private,Urban,Confirmed,264000,1413000,999000,37900,400,3,Good,Self Employed,71000,Approved
EL100085,22,Undergraduate,Engineering,2,College,Urban,Provisional,238000,574000,543000,56700,12500,3,Below Average,Professional,27700,Rejected
EL100086,20,PhD,Engineering,4,College,Semi Urban,Confirmed,209000,959000,847000,23700,3400,1,Good,Self Employed,38500,Approved
EL100087,25,Postgraduate,Engineering,4,College,Semi Urban,Provisional,201000,878000,547000,44300,900,3,Good,Professional,18000,Rejected
EL100088,25,Diploma,Management,1,Private,Urban,Provisional,513000,627000,369000,45300,3500,2,Good,Salaried,26700,Approved
EL100089,17,Undergraduate,Other Professional,2,Government,Semi Urban,Provisional,64000,146000,105000,24000,4400,2,Good,Private Employee,28800,Rejected
EL100090,18,Postgraduate,Commerce,3,Government,Urban,Confirmed,71000,258000,171000,38100,0,3,Below Average,Government Employee,72800,Approved
EL100091,18,Postgraduate,Engineering,4,College,Urban,Confirmed,213000,1033000,547000,32700,1600,4,Average,Private Employee,19700,Rejected
EL100092,24,Postgraduate,Commerce,2,University,Urban,Confirmed,98000,234000,149000,27400,2400,0,Average,Self Employed,20700,Approved
EL100093,22,Postgraduate,Management,5,University,Rural,Provisional,311000,1935000,654000,30700,6700,1,Excellent,Not Applicable,0,Rejected
EL100094,20,Undergraduate,Arts,2,Private,Urban,Confirmed,110000,270000,239000,17100,4900,3,Average,Government Employee,26000,Rejected
EL100095,22,Postgraduate,Law,2,Private,Semi Urban,Confirmed,228000,490000,429000,68300,11200,2,Below Average,Private Employee,31600,Approved
EL100096,17,Professional Course,Engineering,2,Private,Urban,Confirmed,279000,624000,600000,87700,0,3,Below Average,Salaried,37800,Approved
EL100097,18,Undergraduate,Other Professional,5,Private,Urban,Provisional,175000,1086000,872000,25300,700,1,Below Average,Business Owner,21000,Rejected
EL100098,17,Diploma,Engineering,5,Private,Urban,Confirmed,185000,1093000,746000,69900,31100,4,Average,Salaried,9600,Rejected
EL100099,22,Professional Course,Arts,1,Government,Urban,Confirmed,93000,106000,96000,39500,5700,1,Average,Private Employee,53700,Approved
EL100100,21,Postgraduate,Law,4,Government,Semi Urban,Confirmed,80000,391000,252000,39900,0,4,Excellent,Government Employee,31700,Approved
EL100101,18,Postgraduate,Arts,1,Government,Semi Urban,Provisional,86000,101000,56000,21000,7200,3,Good,Salaried,14700,Rejected
EL100102,22,Undergraduate,Engineering,1,College,Urban,Provisional,200000,225000,164000,30400,300,4,Average,Self Employed,45600,Rejected
EL100103,25,Diploma,Medical,4,College,Urban,Confirmed,492000,2173000,1764000,52400,9500,1,Good,Business Owner,89800,Approved
EL100104,17,Professional Course,Engineering,4,University,Urban,Confirmed,242000,1181000,742000,24600,700,1,Average,Professional,57300,Approved
EL100105,20,Professional Course,Engineering,3,College,Semi Urban,Confirmed,184000,673000,399000,27700,9100,1,Average,Not Applicable,0,Rejected
EL100106,23,Undergraduate,Engineering,4,Government,Urban,Confirmed,90000,444000,305000,31100,100,3,Average,Private Employee,15100,Rejected
EL100107,21,Professional Course,Engineering,1,Government,Rural,Confirmed,134000,162000,132000,12000,900,1,Good,Self Employed,34100,Approved
EL100108,17,Undergraduate,Computer Science,5,Government,Urban,Confirmed,150000,815000,593000,47300,10600,2,Below Average,Government Employee,36100,Rejected
EL100109,19,Postgraduate,Engineering,5,Government,Urban,Confirmed,154000,868000,868000,55200,4400,1,Good,Private Employee,27900,Approved
EL100110,19,Undergraduate,Management,2,University,Semi Urban,Provisional,285000,636000,464000,48200,8400,2,Average,Professional,24800,Approved
EL100111,20,Undergraduate,Arts,4,Government,Semi Urban,Confirmed,53000,234000,202000,64300,13200,3,Excellent,Not Applicable,0,Rejected
EL100112,21,Postgraduate,Engineering,4,College,Urban,Confirmed,170000,822000,438000,32100,4700,0,Average,Government Employee,75400,Rejected
EL100113,26,Postgraduate,Commerce,5,University,Urban,Confirmed,112000,602000,504000,99300,3000,2,Average,Professional,12200,Approved
EL100114,20,Professional Course,Arts,3,Government,Urban,Confirmed,76000,261000,178000,26300,1600,1,Below Average,Self Employed,48900,Approved
EL100115,17,Undergraduate,Computer Science,2,College,Urban,Confirmed,259000,634000,475000,35900,3400,4,Excellent,Salaried,29900,Approved
EL100116,21,PhD,Computer Science,5,College,Semi Urban,Confirmed,178000,1075000,1075000,34100,6200,3,Average,Business Owner,29200,Rejected
EL100117,27,Postgraduate,Arts,4,Private,Semi Urban,Confirmed,148000,653000,453000,44100,9000,1,Good,Private Employee,26600,Approved
EL100118,20,Undergraduate,Computer Science,3,Government,Urban,Confirmed,194000,615000,341000,35600,5300,1,Good,Salaried,33200,Approved
EL100119,19,Undergraduate,Computer Science,1,Private,Urban,Confirmed,248000,281000,162000,38100,7400,2,Good,Private Employee,42300,Approved
EL100120,20,Diploma,Science,4,Private,Semi Urban,Confirmed,136000,636000,493000,28600,0,3,Average,Not Applicable,0,Approved
EL100121,23,PhD,Science,6,University,Semi Urban,Confirmed,140000,1026000,788000,32200,5000,4,Below Average,Self Employed,27700,Rejected
EL100122,20,Undergraduate,Management,3,Private,Semi Urban,Confirmed,324000,1123000,855000,13100,1600,2,Average,Salaried,15300,Rejected
EL100123,17,Postgraduate,Management,4,College,Semi Urban,Confirmed,330000,1456000,811000,59900,10500,2,Good,Salaried,15000,Rejected
EL100124,19,Postgraduate,Science,3,Private,Urban,Confirmed,129000,460000,460000,24100,4800,1,Good,Government Employee,52600,Rejected
EL100125,21,Postgraduate,Computer Science,4,College,Semi Urban,Confirmed,146000,660000,640000,31400,1100,1,Good,Salaried,25600,Approved
EL100126,23,Postgraduate,Commerce,2,Government,Urban,Confirmed,86000,209000,161000,23600,2800,4,Excellent,Salaried,16900,Rejected
EL100127,19,PhD,Engineering,5,College,Semi Urban,Confirmed,151000,796000,415000,53400,13400,4,Average,Self Employed,19800,Rejected
EL100128,20,Undergraduate,Engineering,3,Government,Urban,Confirmed,167000,568000,561000,30600,4800,2,Excellent,Private Employee,28200,Approved
EL100129,21,Undergraduate,Computer Science,5,University,Semi Urban,Confirmed,198000,1123000,1034000,12000,1500,1,Average,Business Owner,14700,Rejected
EL100130,18,Undergraduate,Science,1,College,Urban,Confirmed,80000,93000,71000,46200,900,2,Good,Self Employed,29200,Approved
EL100131,21,Professional Course,Management,3,Private,Urban,Confirmed,353000,1188000,1105000,27600,4900,2,Excellent,Salaried,59200,Rejected
EL100132,23,Postgraduate,Other Professional,3,Government,Urban,Confirmed,90000,305000,206000,39700,200,3,Good,Not Applicable,0,Rejected
EL100133,17,Undergraduate,Arts,4,College,Semi Urban,Confirmed,96000,460000,279000,60800,6900,2,Excellent,Not Applicable,0,Approved
EL100134,22,Diploma,Science,3,College,Semi Urban,Confirmed,88000,286000,221000,24500,2100,2,Average,Salaried,47900,Approved
EL100135,17,Postgraduate,Science,2,University,Urban,Confirmed,87000,191000,99000,39100,6500,1,Average,Salaried,54800,Approved
EL100136,17,Undergraduate,Medical,4,Private,Urban,Provisional,748000,3203000,1869000,27300,2100,2,Below Average,Professional,56400,Rejected
EL100137,19,Undergraduate,Management,2,Government,Urban,Confirmed,185000,408000,339000,65700,6600,2,Good,Business Owner,30700,Approved
EL100138,26,Diploma,Engineering,4,Private,Semi Urban,Provisional,329000,1515000,1191000,41800,2000,2,Excellent,Not Applicable,0,Rejected
EL100139,17,Diploma,Management,4,University,Urban,Confirmed,220000,957000,519000,39700,4300,2,Good,Government Employee,44600,Approved
EL100140,19,Undergraduate,Engineering,4,Government,Semi Urban,Confirmed,102000,434000,299000,21600,3200,3,Average,Self Employed,154000,Rejected
EL100141,21,Undergraduate,Arts,4,Government,Semi Urban,Confirmed,70000,350000,192000,58400,5800,1,Good,Private Employee,62500,Approved
EL100142,25,Undergraduate,Science,1,College,Semi Urban,Confirmed,85000,97000,66000,62200,6300,1,Below Average,Private Employee,57500,Approved
EL100143,28,Postgraduate,Medical,4,University,Urban,Confirmed,623000,3031000,2001000,27400,4000,0,Excellent,Salaried,21100,Approved
EL100144,20,Undergraduate,Computer Science,5,University,Semi Urban,Provisional,268000,1605000,1443000,43300,9500,2,Average,Business Owner,17700,Rejected
EL100145,23,Undergraduate,Commerce,3,College,Urban,Confirmed,112000,364000,264000,53900,10600,1,Average,Private Employee,31700,Rejected
EL100146,21,Undergraduate,Arts,4,Private,Semi Urban,Provisional,175000,807000,576000,121700,1700,2,Good,Salaried,26700,Approved
EL100147,21,Professional Course,Other Professional,4,Private,Semi Urban,Provisional,170000,791000,547000,48800,9700,0,Good,Professional,22100,Rejected
EL100148,22,Postgraduate,Medical,4,College,Rural,Confirmed,406000,1756000,864000,40100,10100,4,Good,Salaried,27700,Approved
EL100149,17,Undergraduate,Medical,4,College,Urban,Provisional,377000,1617000,1189000,37100,7200,2,Good,Government Employee,26700,Rejected
EL100150,21,Postgraduate,Science,5,Government,Semi Urban,Confirmed,80000,441000,363000,38300,0,0,Good,Salaried,20900,Approved
EL100151,23,Diploma,Engineering,2,Private,Semi Urban,Provisional,337000,743000,583000,58900,9100,2,Average,Business Owner,42700,Rejected
EL100152,18,Professional Course,Science,2,Private,Rural,Confirmed,173000,383000,327000,25800,6600,1,Excellent,Government Employee,19700,Rejected
EL100153,23,Professional Course,Engineering,1,Government,Urban,Confirmed,143000,157000,135000,64000,5700,3,Average,Not Applicable,0,Rejected
EL100154,17,Postgraduate,Computer Science,4,Government,Semi Urban,Confirmed,109000,505000,505000,18600,7300,3,Good,Self Employed,15200,Rejected
EL100155,21,Postgraduate,Computer Science,4,Government,Urban,Provisional,174000,772000,448000,56000,0,3,Excellent,Not Applicable,0,Approved
EL100156,26,Undergraduate,Arts,4,University,Rural,Provisional,118000,568000,446000,64400,9200,1,Average,Salaried,33200,Rejected
EL100157,20,Diploma,Engineering,2,Government,Semi Urban,Confirmed,171000,363000,291000,60100,11700,4,Good,Business Owner,17500,Approved
EL100158,18,Postgraduate,Science,4,College,Semi Urban,Confirmed,120000,564000,396000,45900,6700,1,Excellent,Professional,30900,Approved
EL100159,17,Undergraduate,Science,2,Private,Urban,Confirmed,104000,251000,164000,48900,7000,2,Average,Not Applicable,0,Approved
EL100160,22,Postgraduate,Science,4,Private,Semi Urban,Provisional,152000,692000,571000,32900,1200,2,Good,Business Owner,23100,Rejected
EL100161,24,Undergraduate,Law,2,College,Semi Urban,Confirmed,147000,327000,265000,22900,1800,2,Good,Not Applicable,0,Rejected
EL100162,21,Diploma,Science,3,University,Urban,Confirmed,99000,330000,195000,45500,8300,1,Good,Salaried,38000,Approved
EL100163,19,Undergraduate,Arts,3,University,Semi Urban,Confirmed,114000,382000,183000,41500,0,1,Good,Salaried,30200,Approved
EL100164,17,Undergraduate,Computer Science,3,College,Urban,Provisional,266000,857000,580000,63700,13500,3,Average,Private Employee,50300,Rejected
EL100165,21,Undergraduate,Science,4,College,Urban,Provisional,123000,574000,373000,37400,4500,2,Good,Government Employee,16800,Rejected
EL100166,19,Undergraduate,Other Professional,5,University,Semi Urban,Confirmed,72000,423000,355000,43500,7800,4,Good,Not Applicable,0,Approved
EL100167,19,Undergraduate,Commerce,4,University,Urban,Confirmed,80000,361000,221000,46300,9500,2,Good,Salaried,21200,Rejected
EL100168,27,Diploma,Medical,4,Private,Semi Urban,Provisional,644000,3197000,2313000,53400,24900,0,Below Average,Government Employee,30700,Rejected
EL100169,17,Diploma,Medical,4,University,Urban,Confirmed,590000,2908000,1436000,64500,16500,0,Excellent,Government Employee,34500,Rejected
EL100170,17,Postgraduate,Science,4,Private,Semi Urban,Confirmed,154000,683000,353000,24900,500,3,Average,Self Employed,15500,Approved
EL100171,22,Undergraduate,Other Professional,3,College,Urban,Provisional,105000,377000,239000,57000,18500,1,Excellent,Salaried,41200,Rejected
EL100172,20,Professional Course,Medical,4,Private,Semi Urban,Confirmed,676000,2902000,2067000,36700,0,1,Good,Professional,97700,Approved
EL100173,19,Professional Course,Other Professional,4,Government,Semi Urban,Provisional,88000,423000,265000,55300,5000,2,Average,Not Applicable,0,Rejected
EL100174,22,Postgraduate,Medical,4,Private,Semi Urban,Confirmed,518000,2480000,1913000,84100,12200,3,Good,Private Employee,18400,Approved
EL100175,22,Postgraduate,Management,5,Private,Urban,Confirmed,452000,2534000,1254000,14000,1400,2,Excellent,Salaried,25300,Rejected
EL100176,18,Diploma,Law,1,Private,Semi Urban,Provisional,256000,289000,207000,73700,11400,1,Good,Salaried,24900,Approved
EL100177,19,Diploma,Other Professional,4,Private,Urban,Confirmed,120000,560000,403000,37800,4300,3,Good,Government Employee,20600,Rejected
EL100178,21,Undergraduate,Computer Science,3,College,Urban,Provisional,168000,557000,297000,26200,6400,4,Below Average,Salaried,44200,Rejected
EL100179,22,Postgraduate,Other Professional,2,Private,Urban,Provisional,158000,368000,289000,32200,2800,3,Below Average,Private Employee,10900,Rejected
EL100180,23,Undergraduate,Science,2,College,Urban,Confirmed,82000,201000,85000,24000,2900,1,Good,Private Employee,34500,Approved
EL100181,19,Diploma,Science,4,University,Semi Urban,Confirmed,104000,474000,307000,51700,15000,3,Average,Salaried,60500,Approved
EL100182,22,Postgraduate,Science,2,Government,Urban,Confirmed,94000,205000,178000,23900,5200,2,Good,Professional,58400,Approved
EL100183,24,Professional Course,Management,5,Private,Semi Urban,Provisional,301000,1748000,728000,73300,8400,0,Good,Business Owner,52200,Approved
EL100184,21,Undergraduate,Engineering,3,College,Semi Urban,Provisional,241000,854000,726000,56700,9800,2,Excellent,Business Owner,20700,Rejected
EL100185,21,Postgraduate,Engineering,3,College,Urban,Confirmed,150000,520000,299000,45000,13400,4,Average,Business Owner,66300,Approved
EL100186,20,Diploma,Engineering,4,Government,Urban,Confirmed,131000,553000,366000,14500,100,2,Average,Professional,36400,Approved
EL100187,19,PhD,Medical,6,Private,Urban,Confirmed,535000,3800000,3652000,20700,700,0,Below Average,Business Owner,65000,Approved
EL100188,18,PhD,Engineering,3,Private,Urban,Confirmed,291000,923000,605000,38600,3000,1,Average,Salaried,53900,Approved
EL100189,20,Undergraduate,Medical,4,University,Urban,Confirmed,699000,3169000,3144000,39600,5900,2,Good,Private Employee,35300,Approved
EL100190,23,Professional Course,Computer Science,4,Government,Semi Urban,Provisional,128000,580000,408000,64200,13900,3,Average,Private Employee,26000,Approved
EL100191,18,Professional Course,Engineering,3,Private,Rural,Confirmed,327000,1196000,882000,12000,700,1,Good,Salaried,109100,Approved
EL100192,21,Professional Course,Management,3,Private,Urban,Confirmed,490000,1797000,1575000,27500,1200,1,Average,Not Applicable,0,Approved
EL100193,20,Postgraduate,Medical,4,Private,Urban,Confirmed,929000,4478000,3724000,61000,700,4,Excellent,Government Employee,27000,Approved
EL100194,27,PhD,Engineering,6,Government,Semi Urban,Confirmed,147000,1071000,828000,33900,1500,3,Good,Self Employed,13700,Approved
EL100195,24,Undergraduate,Commerce,3,University,Rural,Confirmed,118000,387000,263000,31800,2300,4,Average,Not Applicable,0,Approved
EL100196,23,Undergraduate,Law,4,College,Rural,Provisional,204000,974000,504000,17900,0,1,Excellent,Government Employee,36200,Rejected
EL100197,24,Undergraduate,Arts,1,University,Rural,Confirmed,121000,145000,76000,68100,5400,4,Average,Private Employee,20900,Approved
EL100198,19,Postgraduate,Commerce,3,College,Urban,Provisional,129000,467000,442000,31500,1100,1,Excellent,Government Employee,21800,Rejected
EL100199,26,Professional Course,Other Professional,3,University,Rural,Confirmed,90000,326000,326000,69300,8000,2,Average,Professional,14400,Rejected
EL100200,22,Postgraduate,Arts,3,Government,Urban,Confirmed,57000,185000,142000,83500,23600,2,Average,Self Employed,38100,Rejected
EL100201,21,Postgraduate,Engineering,2,Government,Urban,Confirmed,145000,319000,154000,77500,0,4,Excellent,Not Applicable,0,Approved
EL100202,17,Diploma,Medical,4,University,Semi Urban,Confirmed,438000,2114000,1341000,39500,8700,1,Average,Salaried,37500,Approved
