Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Vehicle_Type,Vehicle_Condition,Vehicle_Price,Down_Payment,Loan_Amount,Loan_Tenure,Vehicle_Usage,Number_of_Dependents,Loan_Approval
VL100060,42,Private Employee,Permanent,81000,7.1,11900,Commercial Vehicle,New,1984000,520200,1463800,5,Personal,1,Approved
VL100061,28,Private Employee,Permanent,32700,4.3,2600,Car,New,721000,91700,629300,1,Personal,2,Rejected
VL100062,23,Business Owner,Business,49300,0.8,7200,SUV,New,1334000,183300,1150700,3,Business,2,Approved
VL100063,44,Business Owner,Business,15000,13.9,3500,Electric Vehicle,Used,615000,115900,499100,7,Personal,0,Rejected
VL100064,53,Private Employee,Permanent,19500,3.1,2700,Commercial Vehicle,Used,1263000,301400,961600,3,Personal,1,Rejected
VL100065,30,Professional,Contract,48800,1.2,0,Car,Used,555000,136000,419000,3,Personal,1,Approved
VL100066,40,Self Employed,Self Employed,37100,10.1,6600,Scooter,New,69000,15100,53900,2,Personal,2,Rejected
VL100067,22,Professional,Permanent,36100,1.2,2600,Car,New,695000,48600,646400,1,Personal,3,Approved
VL100068,51,Self Employed,Self Employed,33900,11.1,0,Electric Vehicle,Used,629000,158600,470400,1,Business,3,Approved
VL100069,32,Professional,Permanent,15000,7.5,100,SUV,New,1423000,555300,867700,5,Business,3,Rejected
VL100070,36,Government Employee,Permanent,23500,8.6,1900,Commercial Vehicle,Used,867000,220300,646700,3,Personal,2,Rejected
VL100071,32,Salaried,Permanent,35600,9.0,5500,Car,New,773000,236000,537000,2,Commercial,2,Approved
VL100072,33,Business Owner,Business,65500,7.5,4600,Scooter,New,88000,22800,65200,5,Personal,3,Approved
VL100073,21,Government Employee,Permanent,40200,0.2,4900,Car,Used,324000,89800,234200,5,Commercial,0,Approved
VL100074,26,Government Employee,Permanent,33700,1.2,2200,Scooter,Used,49000,3600,45400,2,Business,0,Approved
VL100075,34,Private Employee,Permanent,35000,8.7,8700,Commercial Vehicle,Used,875000,111000,764000,5,Business,0,Approved
VL100076,37,Salaried,Permanent,26200,17.0,1100,Motorcycle,New,129000,39700,89300,2,Personal,4,Approved
VL100077,43,Self Employed,Self Employed,70700,1.1,14900,Commercial Vehicle,Used,1279000,355600,923400,2,Business,3,Rejected
VL100078,35,Salaried,Permanent,32300,4.8,3200,Electric Vehicle,New,1122000,194400,927600,5,Personal,2,Rejected
VL100079,55,Salaried,Permanent,76100,16.8,10100,SUV,Used,988000,216000,772000,5,Personal,0,Approved
VL100080,39,Salaried,Contract,31500,7.2,0,Commercial Vehicle,Used,1080000,309600,770400,5,Commercial,0,Approved
VL100081,40,Professional,Permanent,35000,5.4,8000,SUV,Used,1085000,248600,836400,3,Business,2,Approved
VL100082,28,Salaried,Permanent,34500,1.9,800,Scooter,New,86000,24900,61100,1,Personal,2,Approved
VL100083,44,Salaried,Permanent,40900,10.2,6300,Commercial Vehicle,New,1733000,295600,1437400,3,Personal,2,Approved
VL100084,39,Salaried,Contract,19300,10.1,900,Scooter,Used,41000,12300,28700,3,Personal,2,Approved
VL100085,48,Professional,Permanent,36700,28.0,0,Car,New,784000,180100,603900,5,Personal,0,Approved
VL100086,22,Government Employee,Permanent,27400,1.9,4700,Car,New,852000,98200,753800,2,Personal,1,Rejected
VL100087,21,Professional,Permanent,35100,0.4,2000,Car,New,809000,304100,504900,2,Business,0,Rejected
VL100088,35,Salaried,Permanent,30600,0.8,2800,Car,New,864000,333700,530300,7,Commercial,1,Rejected
VL100089,40,Salaried,Permanent,16900,9.7,1300,Scooter,Used,49000,7500,41500,5,Business,4,Rejected
VL100090,43,Salaried,Permanent,30700,3.6,0,Commercial Vehicle,New,1587000,264300,1322700,2,Personal,1,Rejected
VL100091,35,Salaried,Contract,54600,11.2,200,Car,Used,502000,133100,368900,2,Personal,3,Approved
VL100092,54,Business Owner,Business,33500,8.2,0,Electric Vehicle,New,1110000,209100,900900,5,Business,1,Rejected
VL100093,33,Private Employee,Contract,28300,0.7,700,Car,Used,399000,79100,319900,5,Business,1,Approved
VL100094,34,Private Employee,Permanent,15000,14.0,3400,Motorcycle,Used,46000,14900,31100,5,Business,3,Approved
VL100095,37,Salaried,Permanent,30200,5.7,5900,Motorcycle,Used,50000,4600,45400,2,Personal,1,Rejected
VL100096,25,Salaried,Permanent,41700,5.0,10500,Commercial Vehicle,New,1755000,259500,1495500,7,Personal,1,Rejected
VL100097,34,Private Employee,Permanent,63800,2.8,11400,Car,New,884000,177300,706700,1,Personal,2,Rejected
VL100098,29,Salaried,Permanent,15000,4.0,1900,Motorcycle,Used,66000,14000,52000,3,Personal,0,Approved
VL100099,40,Professional,Permanent,65100,10.0,14300,Car,New,902000,297400,604600,3,Business,3,Rejected
VL100100,32,Private Employee,Permanent,47600,2.3,2900,Motorcycle,New,110000,31800,78200,5,Personal,2,Approved
VL100101,33,Salaried,Contract,33900,3.7,7500,Motorcycle,Used,96000,13500,82500,3,Personal,1,Rejected
VL100102,31,Salaried,Permanent,25700,2.6,2700,Car,New,869000,205600,663400,5,Personal,1,Rejected
VL100103,38,Salaried,Permanent,54800,18.0,5600,SUV,New,1356000,199000,1157000,5,Personal,2,Approved
VL100104,46,Salaried,Contract,38500,21.1,4000,Motorcycle,New,123000,40300,82700,5,Personal,2,Approved
VL100105,27,Salaried,Permanent,18400,2.2,3900,Scooter,Used,54000,9000,45000,3,Personal,0,Rejected
VL100106,34,Private Employee,Contract,53700,2.6,14200,Motorcycle,Used,47000,5300,41700,3,Personal,1,Rejected
VL100107,41,Private Employee,Permanent,42500,3.9,0,Motorcycle,New,116000,34700,81300,2,Business,4,Approved
VL100108,38,Salaried,Permanent,68900,9.2,12400,Scooter,New,66000,2400,63600,3,Personal,1,Approved
VL100109,47,Private Employee,Permanent,43300,15.2,3400,Electric Vehicle,Used,801000,121000,680000,3,Personal,0,Approved
VL100110,21,Professional,Contract,78200,0.2,7600,SUV,Used,752000,0,752000,3,Commercial,1,Rejected
VL100111,28,Private Employee,Permanent,72000,3.0,7600,Motorcycle,Used,85000,21100,63900,5,Personal,2,Approved
VL100112,33,Private Employee,Permanent,30000,3.9,5400,Electric Vehicle,Used,960000,111300,848700,5,Personal,0,Rejected
VL100113,39,Salaried,Permanent,68700,6.4,0,SUV,New,1481000,469800,1011200,7,Personal,1,Approved
VL100114,32,Private Employee,Permanent,24100,3.6,0,Scooter,Used,56000,16900,39100,3,Business,0,Approved
VL100115,31,Business Owner,Business,17800,1.1,1900,Commercial Vehicle,New,1754000,264400,1489600,2,Business,0,Rejected
VL100116,33,Self Employed,Self Employed,29500,1.5,0,Car,Used,566000,225200,340800,1,Personal,4,Approved
VL100117,31,Private Employee,Permanent,71800,0.3,8300,Car,New,822000,96700,725300,3,Personal,2,Approved
VL100118,46,Private Employee,Permanent,43700,7.7,7900,Motorcycle,New,98000,10000,88000,3,Business,4,Approved
VL100119,37,Business Owner,Business,39600,5.2,5300,Scooter,New,75000,11500,63500,5,Personal,3,Approved
VL100120,33,Salaried,Permanent,54200,2.4,7100,Motorcycle,New,103000,22000,81000,3,Personal,4,Rejected
VL100121,37,Salaried,Permanent,23100,6.4,800,Car,New,690000,182900,507100,1,Personal,1,Approved
VL100122,23,Salaried,Permanent,30900,0.6,7200,Motorcycle,New,119000,40700,78300,5,Business,2,Approved
VL100123,29,Self Employed,Self Employed,39900,2.2,8100,SUV,New,1268000,270100,997900,3,Personal,2,Rejected
VL100124,29,Private Employee,Permanent,40300,1.2,8300,SUV,New,1384000,235600,1148400,3,Business,2,Rejected
VL100125,44,Self Employed,Self Employed,36500,3.9,5400,Car,New,683000,133200,549800,5,Business,0,Approved
VL100126,47,Private Employee,Permanent,17100,14.5,400,Electric Vehicle,New,1447000,384700,1062300,7,Personal,2,Rejected
VL100127,28,Self Employed,Self Employed,26000,5.0,0,Scooter,New,67000,7500,59500,3,Commercial,2,Rejected
VL100128,45,Self Employed,Self Employed,32400,9.3,6400,Car,New,855000,119800,735200,2,Business,3,Rejected
VL100129,36,Business Owner,Business,21500,7.4,1300,SUV,New,1441000,532000,909000,5,Commercial,3,Rejected
VL100130,32,Salaried,Permanent,21800,5.7,0,Car,Used,538000,68300,469700,5,Business,1,Approved
VL100131,29,Salaried,Permanent,43400,2.0,0,Motorcycle,New,105000,9500,95500,5,Commercial,1,Approved
VL100132,32,Private Employee,Permanent,17900,5.9,3300,Car,Used,394000,138300,255700,7,Personal,2,Approved
VL100133,33,Salaried,Permanent,19800,8.4,3800,Car,New,697000,165300,531700,2,Commercial,4,Rejected
VL100134,21,Salaried,Permanent,26700,0.2,7400,Commercial Vehicle,New,1772000,553400,1218600,1,Personal,0,Rejected
VL100135,32,Private Employee,Contract,71000,6.2,8300,SUV,Used,673000,40800,632200,1,Business,1,Approved
VL100136,34,Professional,Permanent,62400,2.2,6800,Commercial Vehicle,Used,869000,289600,579400,2,Commercial,2,Approved
VL100137,23,Government Employee,Permanent,16900,0.8,0,SUV,New,1400000,0,1400000,3,Personal,0,Rejected
VL100138,30,Professional,Permanent,29100,2.0,5400,Commercial Vehicle,New,2033000,399800,1633200,2,Business,2,Rejected
VL100139,30,Business Owner,Business,53500,3.3,4500,Car,Used,464000,164700,299300,3,Personal,2,Rejected
VL100140,22,Private Employee,Contract,72500,1.0,7000,SUV,New,1649000,529400,1119600,2,Commercial,2,Approved
VL100141,45,Private Employee,Permanent,24500,8.0,900,Electric Vehicle,Used,1045000,291000,754000,5,Commercial,0,Approved
VL100142,34,Self Employed,Self Employed,43200,7.8,4000,SUV,Used,612000,212600,399400,1,Personal,3,Approved
VL100143,21,Salaried,Permanent,24200,0.2,3100,Car,New,734000,139500,594500,2,Commercial,0,Approved
VL100144,40,Salaried,Permanent,56200,10.8,4000,Motorcycle,New,123000,11500,111500,5,Personal,4,Approved
VL100145,28,Salaried,Permanent,30100,2.1,0,SUV,New,1373000,217900,1155100,3,Commercial,2,Rejected
VL100146,22,Salaried,Permanent,33100,0.7,5500,Car,Used,453000,37700,415300,3,Business,2,Rejected
VL100147,33,Salaried,Permanent,18900,1.1,2600,Car,New,901000,161700,739300,5,Personal,1,Rejected
VL100148,50,Self Employed,Self Employed,53000,8.7,4100,Commercial Vehicle,Used,1251000,87200,1163800,7,Personal,2,Approved
VL100149,34,Salaried,Permanent,43300,1.6,9200,Commercial Vehicle,New,1662000,466500,1195500,3,Personal,3,Rejected
VL100150,28,Private Employee,Contract,40500,2.9,3300,Car,New,940000,31600,908400,3,Personal,1,Approved
VL100151,40,Private Employee,Permanent,29700,5.9,3400,Electric Vehicle,Used,800000,131000,669000,5,Personal,1,Approved
VL100152,27,Private Employee,Permanent,28800,6.5,0,Car,New,803000,111500,691500,1,Business,3,Rejected
VL100153,48,Self Employed,Self Employed,46700,19.4,1600,Car,Used,571000,95800,475200,7,Personal,1,Approved
VL100154,33,Salaried,Contract,27500,13.0,3700,Scooter,New,77000,13700,63300,2,Personal,1,Rejected
VL100155,40,Professional,Contract,52800,20.0,4100,Motorcycle,New,111000,37800,73200,7,Business,0,Approved
VL100156,21,Salaried,Permanent,62500,0.5,9200,SUV,New,1274000,205000,1069000,7,Personal,0,Rejected
VL100157,34,Business Owner,Business,29900,1.5,0,Car,New,748000,72700,675300,2,Personal,0,Rejected
VL100158,24,Private Employee,Permanent,36700,1.8,5500,Scooter,Used,51000,12200,38800,5,Personal,3,Approved
VL100159,31,Salaried,Permanent,15700,3.5,1400,Car,New,687000,130900,556100,2,Business,4,Rejected
VL100160,36,Self Employed,Self Employed,33100,16.0,7000,Electric Vehicle,New,1242000,232100,1009900,2,Personal,0,Rejected
VL100161,30,Government Employee,Permanent,33600,3.1,3000,Car,Used,291000,49200,241800,2,Commercial,1,Rejected
VL100162,30,Salaried,Permanent,41500,5.0,6200,Car,New,766000,127800,638200,5,Commercial,0,Approved
VL100163,47,Business Owner,Business,49900,9.3,7300,Motorcycle,Used,74000,15600,58400,3,Personal,2,Approved
VL100164,21,Salaried,Permanent,42500,0.1,7500,Motorcycle,Used,57000,7400,49600,5,Personal,1,Approved
VL100165,41,Professional,Permanent,59500,4.8,7500,Scooter,New,82000,21900,60100,7,Business,1,Approved
VL100166,32,Professional,Contract,36800,4.6,3700,Motorcycle,New,117000,48400,68600,3,Commercial,3,Rejected
VL100167,28,Salaried,Permanent,22900,2.2,1900,Motorcycle,New,128000,18200,109800,3,Personal,2,Rejected
VL100168,29,Private Employee,Permanent,62300,1.1,11600,SUV,Used,573000,108300,464700,7,Personal,1,Approved
VL100169,36,Private Employee,Permanent,21700,10.3,1600,Car,New,815000,200200,614800,3,Personal,0,Rejected
VL100170,39,Self Employed,Self Employed,24200,5.0,1300,Scooter,Used,40000,11000,29000,2,Personal,1,Rejected
VL100171,28,Business Owner,Business,34900,7.9,5600,Motorcycle,Used,67000,16700,50300,3,Personal,0,Approved
VL100172,36,Salaried,Permanent,21600,7.1,4100,SUV,Used,909000,103600,805400,3,Personal,1,Rejected
VL100173,21,Self Employed,Self Employed,31400,0.2,7100,Car,Used,534000,26100,507900,5,Commercial,3,Rejected
VL100174,43,Salaried,Permanent,17900,5.5,4200,Motorcycle,Used,82000,5500,76500,2,Commercial,1,Rejected
VL100175,36,Business Owner,Business,28300,3.4,3300,Motorcycle,New,127000,34000,93000,3,Personal,2,Approved
VL100176,21,Business Owner,Business,18600,1.0,2800,Electric Vehicle,New,1216000,197400,1018600,5,Business,2,Rejected
VL100177,44,Private Employee,Permanent,46000,3.5,12400,Car,Used,303000,41300,261700,5,Business,1,Rejected
VL100178,37,Business Owner,Business,38900,0.4,7100,Car,New,806000,132900,673100,5,Business,0,Approved
VL100179,36,Private Employee,Permanent,21500,1.8,5000,Scooter,New,75000,18800,56200,5,Business,0,Rejected
VL100180,26,Business Owner,Business,20100,1.8,3600,Electric Vehicle,Used,813000,280200,532800,3,Personal,2,Approved
VL100181,23,Private Employee,Permanent,28200,2.0,1100,Commercial Vehicle,New,1731000,236500,1494500,3,Personal,0,Rejected
VL100182,27,Salaried,Permanent,31400,4.5,2600,Scooter,New,81000,8500,72500,3,Personal,0,Approved
VL100183,59,Private Employee,Permanent,51000,27.5,0,Electric Vehicle,New,1226000,283100,942900,3,Personal,4,Approved
VL100184,31,Government Employee,Permanent,19200,2.2,1600,SUV,New,1506000,343400,1162600,3,Personal,2,Rejected
VL100185,40,Salaried,Permanent,55700,2.5,3100,Car,Used,502000,76700,425300,7,Personal,1,Approved
VL100186,41,Professional,Permanent,29300,6.0,1400,Car,Used,429000,112700,316300,5,Commercial,1,Approved
VL100187,50,Professional,Permanent,28800,12.1,2400,Motorcycle,New,104000,24000,80000,2,Personal,4,Rejected
VL100188,38,Private Employee,Permanent,20500,2.4,700,Car,New,721000,79500,641500,3,Personal,2,Rejected
VL100189,23,Government Employee,Permanent,31100,1.4,200,Motorcycle,New,112000,20100,91900,1,Commercial,0,Approved
VL100190,30,Professional,Permanent,20600,6.4,3700,Scooter,New,70000,20900,49100,5,Personal,0,Approved
VL100191,27,Salaried,Permanent,37000,3.2,1900,SUV,New,1393000,398500,994500,3,Personal,2,Approved
VL100192,38,Professional,Permanent,59100,7.3,4700,Motorcycle,Used,40000,8700,31300,7,Personal,2,Approved
VL100193,41,Private Employee,Permanent,94000,8.6,18700,Commercial Vehicle,New,2037000,871200,1165800,1,Commercial,1,Approved
VL100194,41,Government Employee,Permanent,35000,3.9,1400,Motorcycle,New,117000,27000,90000,2,Personal,1,Approved
VL100195,42,Self Employed,Self Employed,40200,2.8,6500,Motorcycle,New,103000,23600,79400,2,Personal,2,Approved
VL100196,54,Professional,Permanent,40100,28.4,0,Commercial Vehicle,New,1790000,310400,1479600,2,Personal,1,Rejected
VL100197,43,Business Owner,Business,79700,23.0,8800,SUV,New,1645000,302000,1343000,7,Commercial,1,Approved
VL100198,21,Self Employed,Self Employed,36400,0.7,5500,Scooter,New,71000,17400,53600,3,Personal,3,Rejected
VL100199,28,Salaried,Permanent,24400,0.8,1300,Commercial Vehicle,New,1686000,245700,1440300,3,Personal,1,Rejected
VL100200,50,Salaried,Permanent,33000,18.2,6000,Car,New,797000,210900,586100,5,Personal,1,Approved
VL100201,30,Business Owner,Business,20500,10.0,2900,Scooter,New,84000,22400,61600,2,Personal,0,Approved
VL100202,36,Private Employee,Permanent,77700,12.5,10000,Car,New,809000,59200,749800,3,Commercial,0,Approved
VL100203,29,Self Employed,Self Employed,44600,2.0,8400,Scooter,New,75000,4900,70100,3,Personal,1,Approved
VL100204,22,Self Employed,Self Employed,57000,1.6,9600,SUV,Used,994000,173100,820900,3,Personal,0,Rejected
VL100205,37,Salaried,Permanent,26200,4.3,2600,Motorcycle,Used,46000,16500,29500,3,Personal,3,Approved
VL100206,45,Salaried,Permanent,45100,11.8,0,Car,New,776000,284800,491200,2,Personal,0,Approved
VL100207,32,Self Employed,Self Employed,34300,11.6,8700,Scooter,New,68000,0,68000,2,Personal,3,Rejected
VL100208,21,Professional,Permanent,15900,0.9,900,Electric Vehicle,Used,728000,161600,566400,7,Commercial,2,Rejected
VL100209,32,Professional,Permanent,21200,1.3,0,Motorcycle,New,111000,22500,88500,5,Personal,0,Approved
VL100210,32,Salaried,Contract,41700,7.0,9700,Motorcycle,Used,58000,6600,51400,1,Personal,1,Rejected
VL100211,34,Private Employee,Contract,106500,6.2,15900,Motorcycle,New,126000,23400,102600,1,Commercial,0,Approved
VL100212,29,Salaried,Permanent,54400,3.2,5600,Motorcycle,Used,62000,8600,53400,1,Personal,4,Rejected
VL100213,21,Private Employee,Permanent,48600,0.1,4600,Scooter,New,69000,12400,56600,2,Business,1,Approved
VL100214,27,Private Employee,Contract,71600,3.8,12300,Commercial Vehicle,New,2147000,395700,1751300,2,Personal,0,Approved
VL100215,25,Salaried,Permanent,27700,1.1,7700,SUV,Used,628000,63000,565000,5,Business,2,Rejected
VL100216,41,Professional,Permanent,47200,21.0,3300,Electric Vehicle,New,1502000,268800,1233200,5,Business,1,Approved
VL100217,34,Salaried,Permanent,21600,1.2,800,Motorcycle,New,103000,18100,84900,5,Personal,1,Rejected
VL100218,41,Business Owner,Business,36300,4.8,3000,Scooter,New,84000,22000,62000,1,Personal,0,Approved
VL100219,31,Professional,Permanent,26700,4.4,0,Commercial Vehicle,New,1944000,418600,1525400,7,Business,3,Rejected
VL100220,29,Professional,Permanent,54200,4.3,4800,Car,Used,459000,124300,334700,5,Personal,1,Approved
VL100221,31,Self Employed,Self Employed,15000,0.5,3000,Electric Vehicle,New,1115000,270400,844600,3,Personal,4,Rejected
VL100222,27,Self Employed,Self Employed,23300,7.0,2700,Commercial Vehicle,New,1961000,637800,1323200,5,Personal,1,Rejected
VL100223,39,Government Employee,Permanent,70500,6.9,9600,Car,New,790000,136400,653600,7,Personal,0,Approved
VL100224,21,Government Employee,Permanent,56400,0.2,10200,Car,New,825000,233300,591700,1,Commercial,1,Approved
VL100225,31,Professional,Permanent,37800,2.5,2900,Car,New,710000,146800,563200,2,Business,0,Approved
VL100226,31,Salaried,Permanent,45800,3.9,400,Commercial Vehicle,Used,1304000,439900,864100,3,Commercial,1,Approved
VL100227,31,Private Employee,Permanent,41700,9.8,3600,Motorcycle,Used,81000,18900,62100,7,Personal,2,Approved
VL100228,38,Salaried,Contract,104400,2.0,9300,Car,New,858000,97700,760300,5,Commercial,3,Approved
VL100229,21,Salaried,Permanent,40800,0.5,6800,Electric Vehicle,Used,534000,103900,430100,1,Personal,2,Rejected
VL100230,38,Salaried,Permanent,44400,4.1,7100,Scooter,New,67000,12200,54800,5,Personal,3,Approved
VL100231,36,Self Employed,Self Employed,29000,2.8,0,SUV,New,1308000,165000,1143000,2,Personal,1,Rejected
VL100232,38,Self Employed,Self Employed,37700,5.2,0,Scooter,New,68000,10700,57300,1,Personal,0,Rejected
VL100233,38,Private Employee,Permanent,19400,3.7,3700,Electric Vehicle,New,1228000,14500,1213500,3,Business,1,Rejected
VL100234,32,Private Employee,Permanent,40400,12.0,300,Car,Used,360000,52900,307100,1,Personal,2,Approved
VL100235,35,Government Employee,Permanent,44900,10.8,8200,Commercial Vehicle,New,1643000,429600,1213400,3,Business,4,Approved
VL100236,46,Self Employed,Self Employed,41300,7.9,0,Motorcycle,New,122000,30500,91500,3,Personal,0,Approved
VL100237,21,Salaried,Permanent,63800,0.8,15500,SUV,New,1510000,232200,1277800,7,Commercial,2,Rejected
VL100238,47,Salaried,Permanent,67600,12.3,7100,Motorcycle,Used,47000,10900,36100,2,Business,4,Approved
VL100239,54,Private Employee,Permanent,70000,17.0,13500,Scooter,New,84000,26400,57600,2,Personal,0,Approved
VL100240,42,Salaried,Permanent,21800,16.0,2500,Commercial Vehicle,New,1812000,242400,1569600,2,Personal,0,Approved
