Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Loan_Amount,Loan_Tenure,Property_Value,Down_Payment,Property_Type,Property_Location_Type,Number_of_Dependents,Loan_Approval
HL100018,45,Business Owner,Business,64600,10.1,5400,3739000,25,4344000,605000,Independent House,Rural,1,Approved
HL100019,25,Private Employee,Permanent,81100,2.8,15400,6628000,15,8096000,1468000,Apartment,Semi Urban,2,Rejected
HL100020,25,Self Employed,Self Employed,70700,1.4,9600,10712000,25,12579000,1867000,Plot,Urban,2,Rejected
HL100021,31,Government Employee,Permanent,55600,1.3,13600,4884000,10,6663000,1779000,Villa,Urban,0,Rejected
HL100022,28,Professional,Permanent,79000,3.2,14200,8447000,20,11057000,2610000,Independent House,Semi Urban,1,Rejected
HL100023,45,Business Owner,Business,49600,8.3,8000,3787000,30,5533000,1746000,Apartment,Semi Urban,2,Approved
HL100024,41,Self Employed,Self Employed,48500,8.4,13100,3876000,25,6161000,2285000,Independent House,Urban,0,Rejected
HL100025,48,Salaried,Permanent,53700,19.9,6000,6461000,25,8902000,2441000,Apartment,Urban,3,Approved
HL100026,42,Private Employee,Contract,26600,21.0,3300,1648000,20,2215000,567000,Apartment,Urban,1,Rejected
HL100027,40,Salaried,Permanent,32100,19.0,3800,3934000,20,5458000,1524000,Apartment,Urban,2,Rejected
HL100028,49,Salaried,Permanent,32700,11.4,8000,3175000,20,4275000,1100000,Builder Floor,Urban,0,Approved
HL100029,42,Self Employed,Self Employed,76400,5.0,9200,6927000,15,8927000,2000000,Independent House,Urban,4,Approved
HL100030,39,Self Employed,Self Employed,60500,8.9,4100,8253000,20,10549000,2296000,Independent House,Urban,3,Rejected
HL100031,51,Professional,Permanent,82000,11.4,13700,7108000,20,8248000,1140000,Builder Floor,Semi Urban,0,Rejected
HL100032,39,Government Employee,Permanent,22500,18.0,1200,2914000,20,4088000,1174000,Independent House,Urban,2,Rejected
HL100033,35,Government Employee,Permanent,26400,14.0,4300,3665000,15,4684000,1019000,Builder Floor,Urban,3,Rejected
HL100034,30,Private Employee,Permanent,73000,7.0,11200,5247000,15,7901000,2654000,Apartment,Urban,0,Approved
HL100035,44,Salaried,Permanent,18000,4.3,1900,1088000,15,1540000,452000,Apartment,Rural,2,Rejected
HL100036,49,Salaried,Contract,94000,13.1,15500,12840000,15,15469000,2629000,Apartment,Urban,3,Approved
HL100037,38,Private Employee,Permanent,23800,10.2,0,1631000,15,2398000,767000,Independent House,Urban,2,Approved
HL100038,50,Salaried,Permanent,79200,12.8,10500,11757000,10,12376000,619000,Builder Floor,Urban,3,Rejected
HL100039,22,Self Employed,Self Employed,36300,0.4,3000,1854000,30,2963000,1109000,Villa,Semi Urban,0,Approved
HL100040,38,Private Employee,Permanent,86900,8.8,30300,7846000,10,8845000,999000,Villa,Urban,3,Rejected
HL100041,38,Business Owner,Business,286900,17.0,38000,18510000,25,25000000,6490000,Apartment,Urban,4,Approved
HL100042,31,Self Employed,Self Employed,19500,2.9,1400,1695000,15,2273000,578000,Builder Floor,Rural,0,Rejected
HL100043,59,Government Employee,Permanent,70400,38.0,700,6634000,25,9613000,2979000,Independent House,Semi Urban,1,Approved
HL100044,37,Business Owner,Business,30000,10.0,6700,3472000,25,4306000,834000,Apartment,Urban,2,Rejected
HL100045,34,Business Owner,Business,82100,7.7,7600,8475000,30,8921000,446000,Builder Floor,Urban,3,Approved
HL100046,38,Government Employee,Permanent,46900,6.6,2700,3451000,25,4281000,830000,Independent House,Rural,0,Rejected
HL100047,22,Government Employee,Permanent,54600,0.3,8000,3411000,25,4277000,866000,Apartment,Rural,1,Rejected
HL100048,31,Self Employed,Self Employed,35900,0.8,6200,3217000,10,3408000,191000,Apartment,Semi Urban,3,Rejected
HL100049,47,Salaried,Permanent,77000,6.4,13100,5924000,20,7630000,1706000,Apartment,Semi Urban,1,Rejected
HL100050,32,Salaried,Contract,28200,1.0,3400,2572000,15,2970000,398000,Plot,Rural,2,Rejected
HL100051,31,Salaried,Permanent,94700,0.9,12600,5198000,25,7139000,1941000,Independent House,Rural,2,Approved
HL100052,50,Self Employed,Self Employed,45100,4.7,6200,3062000,25,3829000,767000,Builder Floor,Urban,4,Rejected
HL100053,50,Self Employed,Self Employed,28800,28.5,4200,2018000,15,3239000,1221000,Apartment,Rural,0,Approved
HL100054,43,Self Employed,Self Employed,111000,21.5,17100,6394000,20,7988000,1594000,Independent House,Semi Urban,4,Approved
HL100055,34,Self Employed,Self Employed,52600,3.2,10900,6172000,15,8278000,2106000,Villa,Semi Urban,2,Approved
HL100056,36,Private Employee,Contract,127800,1.9,15900,11893000,20,14921000,3028000,Villa,Urban,3,Approved
HL100057,31,Private Employee,Permanent,93900,3.2,5100,6936000,20,7623000,687000,Independent House,Urban,0,Approved
HL100058,29,Salaried,Permanent,37800,5.7,4100,4504000,20,5655000,1151000,Independent House,Semi Urban,2,Approved
HL100059,29,Salaried,Permanent,52100,6.8,9400,4649000,25,6459000,1810000,Villa,Semi Urban,3,Rejected
HL100060,32,Self Employed,Self Employed,57200,5.6,0,6912000,15,9444000,2532000,Builder Floor,Urban,3,Approved
HL100061,29,Private Employee,Permanent,107700,4.6,0,9445000,25,11756000,2311000,Apartment,Semi Urban,0,Approved
HL100062,24,Private Employee,Permanent,66000,1.6,12800,6932000,20,7732000,800000,Independent House,Urban,1,Approved
HL100063,40,Self Employed,Self Employed,58600,1.9,14200,6331000,15,8691000,2360000,Villa,Urban,0,Rejected
HL100064,40,Private Employee,Permanent,49500,2.6,900,3937000,15,5274000,1337000,Apartment,Semi Urban,0,Approved
HL100065,53,Private Employee,Contract,53000,32.0,6800,4534000,10,6363000,1829000,Apartment,Semi Urban,2,Rejected
HL100066,32,Private Employee,Permanent,97400,5.6,8600,8533000,20,10641000,2108000,Builder Floor,Urban,4,Approved
HL100067,41,Government Employee,Permanent,51600,1.1,5100,5424000,25,5930000,506000,Apartment,Urban,2,Rejected
HL100068,41,Salaried,Permanent,45400,12.1,6600,2979000,10,4041000,1062000,Apartment,Urban,0,Approved
HL100069,36,Private Employee,Permanent,42000,3.1,700,4602000,10,5894000,1292000,Independent House,Semi Urban,1,Approved
HL100070,45,Salaried,Contract,42200,21.6,1300,2432000,20,3637000,1205000,Apartment,Rural,1,Approved
HL100071,45,Government Employee,Permanent,27400,20.1,2600,3361000,15,4322000,961000,Apartment,Semi Urban,0,Approved
HL100072,41,Business Owner,Business,48300,13.7,5200,3534000,15,4510000,976000,Apartment,Semi Urban,3,Approved
HL100073,36,Salaried,Contract,106300,7.6,3200,10291000,20,13784000,3493000,Apartment,Urban,0,Approved
HL100074,35,Salaried,Permanent,49400,14.0,9000,4585000,15,5539000,954000,Independent House,Urban,0,Approved
HL100075,26,Government Employee,Permanent,70700,5.0,6100,6620000,25,7960000,1340000,Plot,Rural,2,Approved
HL100076,31,Government Employee,Permanent,18000,2.1,1600,2328000,15,2955000,627000,Apartment,Urban,0,Rejected
HL100077,32,Self Employed,Self Employed,70000,7.5,10000,7822000,20,9163000,1341000,Independent House,Urban,1,Rejected
HL100078,28,Private Employee,Permanent,50400,2.0,5500,4767000,15,5971000,1204000,Independent House,Urban,2,Approved
HL100079,42,Self Employed,Self Employed,43600,3.9,8200,3733000,15,5974000,2241000,Apartment,Semi Urban,0,Approved
HL100080,49,Self Employed,Self Employed,58800,28.0,2700,4109000,20,5899000,1790000,Independent House,Urban,2,Approved
HL100081,30,Government Employee,Permanent,41200,6.8,300,4436000,25,5873000,1437000,Apartment,Urban,2,Approved
HL100082,41,Business Owner,Business,26000,10.7,2500,2320000,30,3537000,1217000,Apartment,Semi Urban,2,Approved
HL100083,29,Salaried,Permanent,82000,1.8,10200,7517000,5,8886000,1369000,Apartment,Urban,1,Approved
HL100084,35,Salaried,Permanent,60400,14.0,1300,5204000,20,8961000,3757000,Apartment,Urban,1,Approved
HL100085,32,Salaried,Permanent,47000,2.2,400,5228000,20,6400000,1172000,Builder Floor,Semi Urban,2,Approved
HL100086,43,Self Employed,Self Employed,35100,3.6,4700,1490000,10,2404000,914000,Builder Floor,Rural,0,Approved
HL100087,32,Private Employee,Permanent,28000,4.9,1700,1980000,25,3193000,1213000,Builder Floor,Urban,0,Approved
HL100088,47,Salaried,Permanent,59900,18.4,200,6756000,15,7341000,585000,Apartment,Urban,1,Approved
HL100089,36,Private Employee,Permanent,112000,5.1,22100,11935000,25,18011000,6076000,Plot,Urban,0,Approved
HL100090,32,Salaried,Permanent,59400,11.0,4100,6639000,20,8271000,1632000,Independent House,Urban,0,Approved
HL100091,27,Self Employed,Self Employed,29100,3.0,6200,2255000,10,2732000,477000,Apartment,Rural,4,Rejected
HL100092,40,Private Employee,Permanent,60000,5.3,7300,4370000,25,5921000,1551000,Builder Floor,Semi Urban,1,Approved
HL100093,46,Government Employee,Permanent,50200,7.7,7200,3496000,10,4062000,566000,Plot,Urban,2,Rejected
HL100094,40,Government Employee,Permanent,75900,19.0,7800,4033000,25,5451000,1418000,Apartment,Semi Urban,1,Approved
HL100095,58,Private Employee,Permanent,71200,15.3,0,6417000,25,7503000,1086000,Builder Floor,Urban,0,Approved
HL100096,51,Government Employee,Permanent,18000,30.0,500,1276000,20,1666000,390000,Apartment,Urban,2,Approved
HL100097,35,Salaried,Permanent,69200,1.3,7600,3198000,15,4750000,1552000,Independent House,Rural,2,Approved
HL100098,35,Salaried,Permanent,34500,12.8,5100,3692000,15,4929000,1237000,Apartment,Urban,4,Rejected
HL100099,42,Professional,Permanent,32900,5.0,0,3809000,20,4710000,901000,Apartment,Urban,0,Approved
HL100100,30,Professional,Permanent,57200,6.9,6600,2651000,20,3599000,948000,Builder Floor,Rural,0,Approved
HL100101,48,Self Employed,Self Employed,65200,6.4,2000,8262000,20,9257000,995000,Independent House,Urban,2,Approved
HL100102,41,Salaried,Contract,25900,6.5,3600,2097000,15,2476000,379000,Apartment,Urban,1,Rejected
HL100103,40,Professional,Contract,85500,3.4,10100,8324000,25,10221000,1897000,Plot,Urban,0,Rejected
HL100104,44,Self Employed,Self Employed,76400,17.8,13700,10022000,25,13976000,3954000,Builder Floor,Urban,1,Approved
HL100105,54,Self Employed,Self Employed,55300,28.3,11400,5561000,20,7439000,1878000,Builder Floor,Urban,0,Approved
HL100106,40,Private Employee,Permanent,36700,4.6,5800,2273000,15,3084000,811000,Builder Floor,Urban,3,Rejected
HL100107,37,Salaried,Contract,34900,1.9,6600,3180000,20,4065000,885000,Builder Floor,Urban,3,Rejected
HL100108,52,Salaried,Permanent,86000,31.0,7900,10871000,15,12895000,2024000,Villa,Urban,2,Approved
HL100109,47,Professional,Permanent,31600,7.0,10900,1884000,25,2851000,967000,Apartment,Semi Urban,1,Rejected
HL100110,35,Private Employee,Permanent,87500,5.6,2000,9747000,25,11662000,1915000,Builder Floor,Rural,2,Approved
HL100111,38,Salaried,Permanent,50300,3.6,3900,4065000,25,5446000,1381000,Apartment,Semi Urban,2,Approved
HL100112,40,Government Employee,Permanent,49300,13.8,9500,2797000,15,3545000,748000,Apartment,Semi Urban,3,Rejected
HL100113,41,Private Employee,Permanent,25100,14.8,4500,2189000,25,2978000,789000,Independent House,Semi Urban,2,Rejected
HL100114,26,Salaried,Permanent,50700,5.0,8100,6321000,25,7630000,1309000,Apartment,Urban,4,Rejected
HL100115,24,Business Owner,Business,89300,2.8,15500,7934000,10,11403000,3469000,Independent House,Urban,1,Rejected
HL100116,30,Self Employed,Self Employed,29700,8.0,0,3512000,5,5244000,1732000,Builder Floor,Urban,2,Approved
HL100117,29,Self Employed,Self Employed,67800,3.4,16800,8259000,10,11787000,3528000,Independent House,Urban,3,Approved
HL100118,32,Private Employee,Permanent,56400,4.3,5800,3035000,20,3955000,920000,Independent House,Rural,3,Rejected
HL100119,44,Private Employee,Permanent,40600,16.5,8900,2937000,15,3604000,667000,Independent House,Urban,4,Rejected
HL100120,36,Private Employee,Permanent,79600,6.1,0,3679000,10,6638000,2959000,Villa,Rural,1,Approved
HL100121,40,Private Employee,Permanent,20100,18.1,2800,2477000,20,2883000,406000,Apartment,Urban,2,Approved
HL100122,27,Salaried,Permanent,63300,1.2,4700,6412000,25,9037000,2625000,Apartment,Urban,1,Rejected
HL100123,34,Government Employee,Permanent,106700,1.2,17700,8731000,25,11589000,2858000,Villa,Urban,2,Approved
HL100124,43,Salaried,Permanent,103600,14.6,15100,14552000,25,18538000,3986000,Independent House,Urban,0,Approved
HL100125,43,Private Employee,Permanent,64600,6.5,9600,5551000,25,7255000,1704000,Independent House,Urban,1,Approved
HL100126,31,Government Employee,Permanent,44900,1.7,1600,5247000,20,6393000,1146000,Apartment,Semi Urban,3,Rejected
HL100127,39,Salaried,Permanent,40700,18.0,4700,5058000,25,6781000,1723000,Apartment,Urban,3,Approved
HL100128,58,Salaried,Permanent,47300,16.9,5000,2815000,15,3730000,915000,Villa,Semi Urban,2,Approved
HL100129,38,Private Employee,Permanent,69200,2.4,11000,3026000,25,5348000,2322000,Independent House,Rural,0,Approved
HL100130,32,Salaried,Permanent,37700,3.0,7500,2691000,25,3875000,1184000,Independent House,Urban,1,Approved
HL100131,36,Professional,Permanent,87600,5.5,11600,8403000,20,11375000,2972000,Builder Floor,Rural,0,Approved
HL100132,39,Private Employee,Contract,141500,11.8,2500,12134000,15,16533000,4399000,Plot,Urban,0,Approved
HL100133,37,Government Employee,Permanent,50100,4.3,6400,5297000,15,8370000,3073000,Apartment,Urban,3,Approved
HL100134,38,Private Employee,Permanent,29600,6.9,9700,3299000,15,3847000,548000,Villa,Urban,2,Rejected
HL100135,25,Salaried,Permanent,29600,2.2,7400,2614000,10,3290000,676000,Apartment,Semi Urban,0,Approved
HL100136,29,Professional,Permanent,88400,5.0,0,14345000,5,15382000,1037000,Apartment,Urban,2,Rejected
HL100137,37,Private Employee,Permanent,52700,6.8,6600,4250000,15,5780000,1530000,Villa,Semi Urban,0,Approved
HL100138,37,Self Employed,Self Employed,80400,16.0,15600,6669000,5,9365000,2696000,Apartment,Rural,1,Approved
HL100139,33,Salaried,Contract,42600,8.8,4500,4556000,25,5300000,744000,Apartment,Urban,1,Rejected
HL100140,36,Private Employee,Contract,78700,10.6,6500,4145000,20,6231000,2086000,Builder Floor,Semi Urban,0,Approved
HL100141,39,Private Employee,Permanent,50500,12.3,5000,3162000,25,3776000,614000,Plot,Semi Urban,2,Approved
HL100142,46,Professional,Permanent,44800,23.9,7400,3691000,15,4572000,881000,Builder Floor,Urban,2,Approved
HL100143,37,Private Employee,Contract,45200,8.4,1300,5407000,15,7018000,1611000,Builder Floor,Urban,2,Rejected
HL100144,42,Private Employee,Permanent,31600,4.1,6800,2457000,15,3766000,1309000,Apartment,Urban,3,Rejected
HL100145,33,Salaried,Contract,132600,7.2,15300,14348000,25,16907000,2559000,Villa,Urban,3,Rejected
HL100146,43,Government Employee,Permanent,49300,14.5,2200,2953000,10,3903000,950000,Apartment,Semi Urban,3,Approved
HL100147,41,Private Employee,Contract,72400,20.0,15200,7537000,20,10497000,2960000,Villa,Urban,4,Approved
HL100148,46,Private Employee,Permanent,42500,4.5,0,5109000,15,6955000,1846000,Apartment,Urban,3,Approved
HL100149,44,Salaried,Permanent,33700,5.0,2500,3112000,15,4254000,1142000,Apartment,Semi Urban,3,Rejected
HL100150,43,Business Owner,Business,61000,10.3,4500,6958000,5,9676000,2718000,Apartment,Semi Urban,1,Approved
HL100151,37,Business Owner,Business,111200,11.2,32400,5569000,20,6755000,1186000,Plot,Rural,0,Approved
HL100152,40,Salaried,Permanent,42900,2.9,2800,2272000,10,3523000,1251000,Apartment,Urban,2,Approved
HL100153,48,Private Employee,Permanent,36600,4.9,0,3320000,25,4209000,889000,Independent House,Semi Urban,3,Approved
HL100154,32,Salaried,Permanent,58100,9.0,4300,5020000,10,6279000,1259000,Builder Floor,Urban,3,Approved
HL100155,32,Self Employed,Self Employed,67800,1.7,10600,6006000,15,8935000,2929000,Plot,Semi Urban,2,Approved
HL100156,40,Government Employee,Permanent,107800,4.2,19700,14556000,5,17528000,2972000,Independent House,Urban,3,Rejected
HL100157,42,Private Employee,Permanent,63500,17.8,19200,4364000,30,5785000,1421000,Apartment,Urban,2,Approved
HL100158,31,Self Employed,Self Employed,72400,6.9,16800,7866000,20,9389000,1523000,Builder Floor,Rural,2,Rejected
HL100159,37,Self Employed,Self Employed,74900,4.4,10100,3150000,20,5445000,2295000,Independent House,Semi Urban,0,Approved
HL100160,37,Salaried,Permanent,32200,10.2,1600,2529000,20,4249000,1720000,Independent House,Semi Urban,1,Approved
HL100161,22,Professional,Permanent,40400,0.6,10100,3834000,25,4860000,1026000,Builder Floor,Urban,0,Rejected
HL100162,36,Salaried,Permanent,33300,6.2,3000,3198000,10,4331000,1133000,Apartment,Semi Urban,0,Approved
HL100163,37,Salaried,Permanent,29700,5.4,2000,2098000,25,2691000,593000,Independent House,Urban,2,Approved
HL100164,37,Private Employee,Contract,77500,9.9,6700,11112000,25,13755000,2643000,Apartment,Urban,0,Approved
HL100165,51,Government Employee,Permanent,58600,5.1,1200,8015000,5,10403000,2388000,Apartment,Urban,3,Rejected
HL100166,27,Business Owner,Business,70200,3.7,5800,7382000,10,9425000,2043000,Apartment,Urban,1,Approved
HL100167,31,Business Owner,Business,21100,5.2,2100,2535000,20,2811000,276000,Villa,Urban,2,Rejected
HL100168,22,Government Employee,Permanent,129800,0.5,23200,12524000,10,16502000,3978000,Apartment,Semi Urban,0,Approved
HL100169,34,Professional,Permanent,41700,2.8,3700,4591000,15,5860000,1269000,Villa,Urban,3,Rejected
HL100170,34,Government Employee,Permanent,129600,13.0,2400,11636000,15,15412000,3776000,Plot,Semi Urban,1,Approved
HL100171,33,Private Employee,Permanent,28200,3.3,0,2319000,10,2949000,630000,Builder Floor,Rural,2,Approved
HL100172,48,Salaried,Permanent,37600,8.3,5100,5151000,25,6368000,1217000,Apartment,Urban,2,Rejected
HL100173,46,Professional,Permanent,23100,10.0,2900,2050000,20,2887000,837000,Plot,Semi Urban,2,Approved
HL100174,39,Salaried,Permanent,63800,12.4,4800,4740000,20,6429000,1689000,Apartment,Urban,2,Approved
HL100175,35,Salaried,Permanent,33000,7.5,2700,2854000,20,4271000,1417000,Villa,Rural,2,Approved
HL100176,47,Private Employee,Permanent,33400,2.9,5000,2543000,15,3435000,892000,Apartment,Urban,3,Approved
HL100177,38,Professional,Contract,33600,7.7,7800,2609000,20,3279000,670000,Villa,Urban,1,Rejected
HL100178,31,Business Owner,Business,96100,4.8,5500,12898000,25,17653000,4755000,Apartment,Urban,3,Rejected
HL100179,23,Self Employed,Self Employed,74600,2.0,9500,5309000,15,5657000,348000,Villa,Rural,1,Rejected
HL100180,34,Business Owner,Business,153100,4.7,30100,8509000,20,13911000,5402000,Apartment,Urban,1,Approved
HL100181,45,Business Owner,Business,49700,15.6,2900,4543000,25,5993000,1450000,Apartment,Semi Urban,1,Approved
HL100182,58,Private Employee,Contract,59800,37.0,7100,6012000,20,9934000,3922000,Independent House,Urban,1,Rejected
HL100183,39,Government Employee,Permanent,28800,17.4,3400,1846000,15,2173000,327000,Apartment,Semi Urban,1,Approved
HL100184,31,Self Employed,Self Employed,46600,2.0,700,5316000,10,6115000,799000,Villa,Urban,3,Approved
HL100185,27,Self Employed,Self Employed,42900,4.5,5700,2821000,20,3758000,937000,Villa,Urban,2,Rejected
HL100186,43,Government Employee,Permanent,63400,13.6,7800,5946000,25,7917000,1971000,Villa,Urban,4,Approved
HL100187,22,Salaried,Permanent,85600,0.4,14100,7483000,25,9938000,2455000,Plot,Urban,0,Approved
HL100188,43,Self Employed,Self Employed,84600,16.7,2100,5330000,20,6966000,1636000,Plot,Semi Urban,2,Approved
HL100189,45,Salaried,Contract,37100,4.8,4500,4737000,5,5706000,969000,Builder Floor,Semi Urban,0,Rejected
HL100190,42,Professional,Permanent,97600,5.8,22500,12826000,25,14270000,1444000,Apartment,Urban,1,Approved
HL100191,36,Salaried,Permanent,53100,6.1,15200,6746000,20,8908000,2162000,Independent House,Urban,1,Rejected
HL100192,43,Salaried,Permanent,46800,7.4,10400,7199000,30,8156000,957000,Plot,Urban,2,Rejected
HL100193,40,Business Owner,Business,49200,13.4,1300,6732000,25,7563000,831000,Apartment,Semi Urban,2,Approved
HL100194,31,Salaried,Permanent,42100,4.4,6600,4686000,15,5782000,1096000,Apartment,Semi Urban,1,Rejected
HL100195,55,Salaried,Contract,118700,10.6,9700,7344000,20,9850000,2506000,Apartment,Rural,0,Approved
HL100196,35,Private Employee,Permanent,62200,13.4,8900,4747000,20,7645000,2898000,Independent House,Rural,1,Approved
HL100197,45,Business Owner,Business,73300,16.5,4300,6909000,15,9847000,2938000,Apartment,Urban,1,Approved
HL100198,22,Salaried,Permanent,48100,0.1,0,3476000,20,5224000,1748000,Villa,Urban,2,Approved
HL100199,49,Government Employee,Permanent,154700,3.7,14300,10021000,15,13770000,3749000,Independent House,Rural,2,Approved
HL100200,51,Self Employed,Self Employed,97500,9.4,17300,8173000,10,10888000,2715000,Villa,Urban,3,Approved
HL100201,38,Professional,Contract,45000,2.5,6400,3358000,25,5794000,2436000,Apartment,Urban,4,Approved
HL100202,43,Private Employee,Contract,47900,18.9,7300,6847000,15,7730000,883000,Plot,Urban,1,Rejected
HL100203,43,Salaried,Permanent,49200,6.3,6800,4546000,25,5591000,1045000,Villa,Semi Urban,3,Rejected
HL100204,32,Salaried,Permanent,57900,7.2,8800,4396000,20,5449000,1053000,Apartment,Semi Urban,2,Approved
HL100205,43,Salaried,Permanent,39500,16.4,6400,1852000,25,2614000,762000,Apartment,Rural,0,Rejected
HL100206,31,Salaried,Permanent,66000,0.8,6500,9578000,25,11159000,1581000,Apartment,Urban,3,Rejected
HL100207,33,Self Employed,Self Employed,104100,3.6,13200,9258000,25,12877000,3619000,Builder Floor,Urban,2,Approved
HL100208,48,Salaried,Permanent,30000,10.5,7800,2778000,15,3787000,1009000,Apartment,Urban,2,Rejected
HL100209,47,Private Employee,Permanent,32600,14.4,4300,3234000,30,4523000,1289000,Apartment,Semi Urban,2,Approved
HL100210,32,Self Employed,Self Employed,43600,9.1,5400,5261000,15,7344000,2083000,Apartment,Urban,3,Rejected
HL100211,31,Private Employee,Permanent,44500,10.0,5700,2883000,25,4388000,1505000,Apartment,Rural,2,Approved
HL100212,32,Salaried,Contract,133200,11.0,13700,15241000,20,19441000,4200000,Independent House,Urban,3,Rejected
HL100213,45,Business Owner,Business,106300,10.5,9100,7176000,15,9729000,2553000,Plot,Semi Urban,1,Approved
HL100214,29,Self Employed,Self Employed,82900,3.5,11300,10721000,20,12780000,2059000,Independent House,Semi Urban,4,Rejected
HL100215,41,Self Employed,Self Employed,48100,20.0,3800,5742000,20,6699000,957000,Plot,Urban,2,Approved
HL100216,45,Salaried,Permanent,47600,10.9,5200,4098000,15,6415000,2317000,Apartment,Semi Urban,2,Approved
HL100217,37,Salaried,Contract,28200,4.7,1600,2199000,15,2603000,404000,Independent House,Urban,3,Rejected
HL100218,47,Professional,Contract,88600,22.6,11400,8220000,10,11281000,3061000,Plot,Semi Urban,0,Approved
HL100219,35,Government Employee,Permanent,64200,8.0,10700,4887000,30,6626000,1739000,Villa,Semi Urban,1,Approved
HL100220,36,Government Employee,Permanent,91800,1.9,9500,6959000,20,10144000,3185000,Builder Floor,Semi Urban,3,Approved
HL100221,29,Private Employee,Permanent,49300,2.9,0,6798000,10,7449000,651000,Apartment,Urban,3,Rejected
HL100222,47,Self Employed,Self Employed,50800,4.0,8500,4335000,25,6117000,1782000,Independent House,Rural,2,Rejected
HL100223,31,Professional,Permanent,67300,0.3,8700,4553000,20,5803000,1250000,Villa,Rural,2,Approved
HL100224,41,Government Employee,Permanent,76900,20.0,3100,9461000,25,11427000,1966000,Apartment,Semi Urban,1,Approved
HL100225,37,Professional,Permanent,32100,8.0,5800,1959000,20,2448000,489000,Plot,Rural,2,Rejected
HL100226,29,Salaried,Permanent,75400,3.0,600,7293000,10,10463000,3170000,Apartment,Urban,1,Rejected
HL100227,33,Private Employee,Permanent,53700,3.7,10900,3726000,15,5164000,1438000,Apartment,Urban,3,Approved
HL100228,50,Private Employee,Permanent,33600,13.4,3900,2933000,25,3711000,778000,Plot,Urban,2,Approved
HL100229,40,Salaried,Permanent,21200,5.9,0,3198000,25,3671000,473000,Villa,Urban,1,Rejected
HL100230,29,Salaried,Permanent,50900,1.6,6800,3599000,25,4158000,559000,Builder Floor,Urban,2,Rejected
HL100231,41,Government Employee,Permanent,98700,6.5,8600,10827000,5,15042000,4215000,Builder Floor,Semi Urban,4,Rejected
HL100232,37,Professional,Permanent,132400,16.0,10000,13373000,25,15158000,1785000,Apartment,Urban,2,Rejected
HL100233,65,Private Employee,Contract,63600,37.7,3900,7658000,15,9700000,2042000,Villa,Urban,1,Approved
HL100234,41,Professional,Permanent,150600,6.5,16500,6665000,20,11785000,5120000,Builder Floor,Semi Urban,2,Approved
HL100235,35,Business Owner,Business,66400,14.0,5400,6303000,15,8480000,2177000,Apartment,Semi Urban,1,Approved
HL100236,51,Private Employee,Permanent,83200,13.0,0,7739000,25,10739000,3000000,Independent House,Rural,1,Approved
HL100237,22,Self Employed,Self Employed,44200,0.2,9800,5274000,30,6098000,824000,Builder Floor,Urban,2,Rejected
HL100238,39,Salaried,Permanent,43000,10.6,4300,3874000,15,4411000,537000,Apartment,Semi Urban,1,Rejected
HL100239,56,Salaried,Permanent,39900,35.0,2500,4648000,25,6489000,1841000,Builder Floor,Urban,2,Approved
