Application_ID,Age,Occupation,Employment_Type,Monthly_Income,Employment_Business_Duration,Existing_Monthly_EMI,Loan_Amount,Loan_Tenure,Loan_Purpose,Number_of_Dependents,Monthly_Household_Expenses,Monthly_Savings_Surplus,Residence_Type,Employment_Business_Stability,Loan_Approval
PL100040,29,Private Employee,Permanent,46100,2.7,7700,145000,1,Medical,2,17500,21200,Owned,Unstable,Approved
PL100041,44,Salaried,Permanent,25300,13.1,5600,163000,1,Debt Consolidation,2,11400,10100,Family Owned,Stable,Approved
PL100042,35,Self Employed,Self Employed,21500,5.2,5600,235000,2,Consumer Purchase,0,8500,8100,Owned,Moderate,Rejected
PL100043,44,Professional,Permanent,49900,9.9,0,483000,2,Wedding,0,24100,26100,Owned,Unstable,Rejected
PL100044,34,Salaried,Permanent,50500,5.3,4200,453000,4,Travel,1,23700,22500,Owned,Moderate,Approved
PL100045,51,Government Employee,Permanent,20200,8.1,3700,91000,4,Home Renovation,1,10600,6200,Owned,Very Stable,Approved
PL100046,39,Government Employee,Permanent,23500,12.4,4700,160000,3,Medical,3,15000,2600,Family Owned,Unstable,Rejected
PL100047,28,Government Employee,Permanent,61600,6.0,2000,205000,2,Medical,0,21300,38300,Rented,Moderate,Approved
PL100048,44,Private Employee,Permanent,24600,8.7,5200,294000,2,Wedding,1,12000,7800,Rented,Stable,Rejected
PL100049,38,Self Employed,Self Employed,45900,14.0,10100,102000,2,Wedding,2,17300,18800,Family Owned,Very Stable,Rejected
PL100050,30,Government Employee,Permanent,21500,8.0,3500,208000,3,Emergency,4,9500,7700,Family Owned,Stable,Rejected
PL100051,32,Private Employee,Contract,29600,1.7,6100,120000,5,Wedding,0,11200,11800,Owned,Stable,Rejected
PL100052,28,Private Employee,Permanent,111600,5.2,19600,841000,4,Medical,3,47500,46100,Rented,Stable,Approved
PL100053,28,Professional,Permanent,16800,0.6,3200,163000,2,Other Personal,3,4400,9100,Owned,Stable,Rejected
PL100054,41,Private Employee,Permanent,21300,15.6,2500,62000,4,Consumer Purchase,2,6700,13800,Owned,Stable,Approved
PL100055,48,Private Employee,Permanent,18800,8.5,1200,134000,2,Debt Consolidation,0,12700,5400,Rented,Moderate,Rejected
PL100056,39,Professional,Permanent,41100,1.8,4900,439000,1,Consumer Purchase,2,31400,4500,Owned,Moderate,Rejected
PL100057,34,Professional,Permanent,14000,4.7,2400,66000,1,Consumer Purchase,2,7000,4300,Family Owned,Stable,Rejected
PL100058,33,Salaried,Contract,69900,5.1,0,298000,3,Travel,0,21900,45100,Family Owned,Stable,Approved
PL100059,37,Business Owner,Business,30000,6.8,700,214000,3,Emergency,3,16200,13300,Owned,Stable,Rejected
PL100060,39,Professional,Contract,21400,9.6,1400,238000,3,Debt Consolidation,4,14900,5700,Owned,Very Stable,Rejected
PL100061,26,Business Owner,Business,54300,4.8,0,162000,3,Other Personal,2,18500,37700,Family Owned,Moderate,Approved
PL100062,33,Business Owner,Business,30000,6.8,4100,208000,4,Medical,1,12000,14200,Rented,Moderate,Approved
PL100063,38,Professional,Permanent,61800,11.6,0,123000,3,Consumer Purchase,2,26000,32200,Rented,Stable,Approved
PL100064,27,Salaried,Contract,35900,0.6,6500,62000,1,Wedding,1,17700,12100,Owned,Stable,Rejected
PL100065,49,Government Employee,Permanent,27900,20.4,2900,303000,4,Wedding,2,11200,14800,Owned,Moderate,Rejected
PL100066,59,Self Employed,Self Employed,42600,11.8,6800,218000,3,Medical,0,19300,15700,Family Owned,Moderate,Approved
PL100067,45,Salaried,Permanent,46600,22.9,11800,488000,2,Debt Consolidation,1,21600,12300,Family Owned,Stable,Approved
PL100068,27,Salaried,Contract,35200,5.7,7700,121000,2,Other Personal,4,6000,22200,Owned,Stable,Approved
PL100069,40,Salaried,Permanent,23100,3.8,400,83000,4,Medical,0,7200,16000,Family Owned,Very Stable,Approved
PL100070,41,Private Employee,Permanent,79900,1.0,3800,368000,4,Travel,3,18200,57700,Rented,Stable,Approved
PL100071,28,Self Employed,Self Employed,31400,2.0,1800,333000,4,Travel,1,14700,16200,Rented,Stable,Rejected
PL100072,29,Professional,Permanent,24900,2.6,10300,224000,1,Wedding,1,8100,6300,Rented,Stable,Rejected
PL100073,28,Salaried,Contract,51900,4.2,0,426000,2,Medical,4,16100,37800,Rented,Unstable,Approved
PL100074,31,Salaried,Permanent,44100,2.1,4800,191000,3,Consumer Purchase,1,14300,24900,Owned,Very Stable,Approved
PL100075,24,Government Employee,Permanent,44500,1.8,11100,226000,2,Other Personal,4,16200,16700,Rented,Moderate,Approved
PL100076,30,Salaried,Contract,26200,5.1,3400,98000,1,Medical,2,11700,10600,Owned,Stable,Rejected
PL100077,41,Salaried,Permanent,19000,5.6,2100,45000,1,Wedding,1,8000,9700,Rented,Moderate,Rejected
PL100078,27,Salaried,Permanent,42200,2.0,11800,184000,2,Consumer Purchase,1,21100,10100,Rented,Stable,Approved
PL100079,44,Government Employee,Permanent,28600,2.7,0,218000,2,Travel,0,15600,14000,Rented,Unstable,Rejected
PL100080,26,Salaried,Permanent,34200,1.3,6500,381000,1,Other Personal,2,4900,24200,Rented,Stable,Rejected
PL100081,41,Salaried,Permanent,67700,8.1,4400,228000,5,Home Renovation,1,37300,23200,Owned,Moderate,Rejected
PL100082,40,Self Employed,Self Employed,62200,14.3,10100,357000,1,Wedding,2,19500,30900,Rented,Unstable,Approved
PL100083,35,Professional,Permanent,20200,3.5,5100,194000,3,Home Renovation,3,7300,7400,Rented,Stable,Rejected
PL100084,32,Private Employee,Permanent,61900,6.6,5000,418000,2,Home Renovation,1,40500,14700,Family Owned,Stable,Approved
PL100085,36,Salaried,Permanent,55000,4.3,7000,268000,5,Home Renovation,1,19500,27100,Family Owned,Stable,Rejected
PL100086,42,Private Employee,Permanent,30600,3.1,7500,306000,3,Home Renovation,4,14000,9200,Rented,Very Stable,Rejected
PL100087,26,Private Employee,Contract,57400,2.1,0,138000,1,Consumer Purchase,1,19900,34700,Family Owned,Moderate,Approved
PL100088,35,Professional,Contract,25800,8.5,5500,44000,4,Medical,3,11600,8600,Family Owned,Stable,Approved
PL100089,31,Business Owner,Business,34000,7.8,2800,265000,2,Travel,2,21400,10800,Family Owned,Stable,Approved
PL100090,36,Professional,Permanent,51700,13.0,12100,285000,1,Home Renovation,0,18400,23200,Family Owned,Unstable,Approved
PL100091,32,Self Employed,Self Employed,24700,1.6,3000,204000,3,Emergency,0,9000,13700,Owned,Unstable,Rejected
PL100092,42,Government Employee,Permanent,20200,8.2,1800,50000,2,Debt Consolidation,2,12600,5400,Owned,Stable,Approved
PL100093,22,Salaried,Permanent,41400,2.0,6500,292000,2,Travel,3,13600,18800,Owned,Moderate,Approved
PL100094,33,Private Employee,Permanent,27400,7.6,7100,199000,3,Consumer Purchase,0,15200,4900,Owned,Stable,Approved
PL100095,35,Private Employee,Permanent,42300,14.3,4100,466000,2,Other Personal,0,17200,19000,Rented,Very Stable,Approved
PL100096,27,Self Employed,Self Employed,29100,7.0,2600,311000,3,Debt Consolidation,1,11600,14500,Family Owned,Stable,Approved
PL100097,21,Government Employee,Permanent,14000,0.1,3600,162000,4,Other Personal,1,7800,2800,Owned,Stable,Rejected
PL100098,43,Business Owner,Business,27900,1.1,3600,277000,3,Home Renovation,1,10400,13100,Family Owned,Unstable,Rejected
PL100099,31,Business Owner,Business,52500,2.3,5500,467000,4,Home Renovation,1,27800,21300,Owned,Unstable,Approved
PL100100,27,Self Employed,Self Employed,32600,1.8,3600,220000,4,Medical,0,14400,16800,Owned,Stable,Approved
PL100101,36,Salaried,Permanent,29700,0.9,7000,229000,3,Home Renovation,1,6900,18500,Owned,Very Stable,Approved
PL100102,29,Self Employed,Self Employed,21900,8.7,4800,147000,3,Home Renovation,1,10300,5900,Family Owned,Stable,Rejected
PL100103,29,Professional,Permanent,50900,8.8,2300,166000,5,Medical,3,21700,30300,Rented,Moderate,Approved
PL100104,33,Professional,Permanent,16900,5.6,1400,188000,5,Travel,1,3600,12200,Rented,Unstable,Rejected
PL100105,32,Salaried,Permanent,31200,12.0,7200,127000,5,Wedding,4,10100,13700,Family Owned,Stable,Approved
PL100106,47,Private Employee,Permanent,73300,6.7,13900,434000,5,Home Renovation,2,36700,21600,Owned,Stable,Approved
PL100107,38,Salaried,Contract,22600,10.1,0,81000,2,Wedding,2,9400,12800,Family Owned,Stable,Rejected
PL100108,27,Salaried,Permanent,44100,3.2,7100,126000,1,Debt Consolidation,3,8600,27100,Family Owned,Stable,Approved
PL100109,47,Self Employed,Self Employed,29200,3.6,3600,192000,2,Travel,0,20000,5400,Rented,Moderate,Rejected
PL100110,32,Self Employed,Self Employed,17300,8.8,4300,61000,1,Travel,2,8800,4500,Owned,Very Stable,Rejected
PL100111,50,Salaried,Permanent,50700,6.2,15200,547000,2,Consumer Purchase,1,9600,25400,Family Owned,Stable,Rejected
PL100112,26,Professional,Permanent,14000,1.0,1400,104000,1,Debt Consolidation,4,4500,8200,Owned,Moderate,Rejected
PL100113,30,Private Employee,Permanent,32100,1.0,12900,285000,3,Medical,3,18100,1900,Owned,Very Stable,Rejected
PL100114,21,Private Employee,Contract,103300,1.0,0,996000,1,Emergency,2,54700,48200,Rented,Stable,Approved
PL100115,30,Salaried,Permanent,32100,5.3,4000,244000,5,Medical,1,17400,10300,Family Owned,Very Stable,Approved
PL100116,60,Salaried,Permanent,16300,9.1,2300,47000,4,Home Renovation,1,1600,12500,Owned,Unstable,Approved
PL100117,33,Salaried,Permanent,24600,0.3,5100,253000,2,Medical,2,14100,6100,Owned,Unstable,Rejected
PL100118,40,Private Employee,Contract,48300,4.4,11300,550000,4,Travel,2,24900,11700,Rented,Moderate,Approved
PL100119,29,Professional,Permanent,32200,1.5,8200,120000,2,Wedding,2,22700,1700,Owned,Moderate,Rejected
PL100120,34,Government Employee,Permanent,19300,4.4,4200,94000,1,Medical,3,7300,8000,Family Owned,Stable,Rejected
PL100121,36,Private Employee,Permanent,28900,3.5,5000,160000,1,Home Renovation,1,12500,12000,Rented,Moderate,Approved
PL100122,43,Salaried,Permanent,32600,22.1,3900,100000,2,Emergency,0,21600,7300,Owned,Stable,Approved
PL100123,32,Salaried,Permanent,50700,6.9,1200,121000,3,Other Personal,3,25500,24300,Family Owned,Stable,Approved
PL100124,44,Government Employee,Permanent,26800,12.6,3000,77000,5,Home Renovation,1,4500,19100,Rented,Stable,Approved
PL100125,28,Salaried,Permanent,35800,2.9,4400,166000,2,Other Personal,2,18700,12200,Family Owned,Stable,Rejected
PL100126,34,Salaried,Permanent,21000,6.5,200,75000,4,Wedding,0,6200,15500,Rented,Stable,Approved
PL100127,32,Business Owner,Business,42600,6.8,9300,317000,1,Debt Consolidation,2,17100,16100,Owned,Very Stable,Rejected
PL100128,38,Salaried,Permanent,20500,1.6,1300,164000,4,Wedding,0,10200,8200,Family Owned,Unstable,Approved
PL100129,38,Self Employed,Self Employed,29700,3.7,5900,244000,2,Home Renovation,0,11600,13600,Rented,Unstable,Rejected
PL100130,49,Private Employee,Permanent,23600,9.2,4100,273000,2,Consumer Purchase,0,9700,9500,Owned,Very Stable,Rejected
PL100131,44,Salaried,Permanent,45300,4.6,800,382000,3,Travel,2,24200,20000,Owned,Moderate,Approved
PL100132,36,Business Owner,Business,39400,1.0,1700,224000,4,Other Personal,0,14100,23200,Owned,Stable,Approved
PL100133,30,Private Employee,Contract,37600,6.6,2800,171000,3,Home Renovation,3,21400,13700,Rented,Moderate,Approved
PL100134,32,Private Employee,Permanent,74800,0.4,6800,139000,2,Home Renovation,2,42300,28000,Rented,Moderate,Approved
PL100135,30,Salaried,Permanent,45500,8.5,12900,209000,4,Wedding,0,24900,6700,Owned,Moderate,Rejected
PL100136,34,Government Employee,Permanent,45000,4.3,7300,328000,4,Wedding,2,24000,13500,Owned,Stable,Rejected
PL100137,47,Self Employed,Self Employed,47500,13.7,3200,186000,3,Consumer Purchase,1,32000,11100,Rented,Unstable,Approved
PL100138,45,Business Owner,Business,28000,4.1,5900,304000,3,Debt Consolidation,3,19000,3700,Rented,Stable,Rejected
PL100139,48,Government Employee,Permanent,28900,16.8,8500,186000,1,Travel,1,9500,10000,Rented,Stable,Rejected
PL100140,26,Business Owner,Business,30200,2.2,2700,292000,3,Medical,0,3000,25600,Family Owned,Moderate,Approved
PL100141,43,Business Owner,Business,16200,2.8,2200,148000,1,Wedding,2,5900,8200,Owned,Stable,Rejected
PL100142,27,Salaried,Permanent,17500,2.7,1400,131000,5,Wedding,3,11700,4500,Rented,Very Stable,Rejected
PL100143,39,Salaried,Permanent,35700,14.8,7100,125000,2,Consumer Purchase,2,14600,13200,Family Owned,Moderate,Rejected
PL100144,33,Self Employed,Self Employed,56100,1.9,10600,164000,3,Debt Consolidation,3,29700,15000,Rented,Unstable,Rejected
PL100145,39,Salaried,Permanent,29000,4.2,4800,265000,2,Consumer Purchase,0,13200,11000,Rented,Moderate,Rejected
PL100146,46,Private Employee,Permanent,16800,26.0,2500,45000,3,Travel,1,5800,8600,Rented,Stable,Approved
PL100147,33,Government Employee,Permanent,20600,4.1,300,123000,2,Emergency,3,12000,8900,Family Owned,Stable,Rejected
PL100148,29,Salaried,Permanent,15000,6.2,0,113000,4,Consumer Purchase,0,7500,8100,Family Owned,Very Stable,Approved
PL100149,30,Private Employee,Contract,70800,7.6,9700,143000,3,Home Renovation,0,37300,25800,Owned,Stable,Approved
PL100150,46,Business Owner,Business,30700,13.2,800,50000,1,Emergency,3,22300,7000,Family Owned,Very Stable,Approved
PL100151,38,Private Employee,Permanent,39700,4.7,6500,155000,2,Other Personal,3,12900,22400,Owned,Very Stable,Approved
PL100152,26,Professional,Permanent,52100,1.5,0,544000,5,Wedding,3,23500,29600,Owned,Stable,Approved
PL100153,38,Professional,Permanent,25800,5.5,2200,64000,1,Consumer Purchase,3,7800,15700,Rented,Stable,Approved
PL100154,42,Salaried,Permanent,30400,1.2,2800,75000,5,Wedding,1,13500,13500,Rented,Moderate,Approved
PL100155,60,Private Employee,Permanent,32400,21.4,0,276000,4,Medical,1,9500,22300,Owned,Moderate,Approved
PL100156,25,Government Employee,Permanent,50700,5.0,2600,347000,4,Consumer Purchase,1,17600,32000,Family Owned,Stable,Approved
PL100157,36,Salaried,Permanent,35100,8.2,5800,206000,4,Medical,2,16800,13200,Rented,Moderate,Rejected
PL100158,29,Salaried,Permanent,38200,0.3,11300,330000,3,Wedding,0,21900,4500,Owned,Moderate,Rejected
PL100159,46,Private Employee,Permanent,24600,12.8,7200,91000,1,Consumer Purchase,2,11200,6700,Family Owned,Unstable,Approved
PL100160,30,Private Employee,Permanent,22700,0.6,3700,150000,3,Consumer Purchase,2,8300,10300,Rented,Moderate,Approved
PL100161,30,Private Employee,Permanent,42300,6.2,7200,400000,3,Debt Consolidation,3,19500,15600,Rented,Moderate,Rejected
PL100162,38,Government Employee,Permanent,38400,7.6,8800,280000,1,Home Renovation,1,16400,15300,Owned,Stable,Rejected
PL100163,31,Business Owner,Business,25900,1.8,1000,276000,5,Other Personal,1,7200,17000,Family Owned,Moderate,Approved
PL100164,47,Business Owner,Business,27700,8.8,0,176000,4,Emergency,2,14100,13700,Owned,Unstable,Approved
PL100165,54,Private Employee,Permanent,36800,3.1,1900,282000,3,Wedding,1,15600,19700,Rented,Stable,Approved
PL100166,25,Salaried,Permanent,23700,5.0,2400,235000,3,Medical,2,7800,13200,Rented,Stable,Rejected
PL100167,42,Government Employee,Permanent,21300,9.2,4100,87000,5,Wedding,2,10000,7600,Owned,Moderate,Rejected
PL100168,45,Self Employed,Self Employed,14800,3.4,300,120000,1,Emergency,4,2100,11300,Family Owned,Unstable,Rejected
PL100169,30,Salaried,Contract,45300,3.7,8300,407000,3,Debt Consolidation,1,8200,28900,Family Owned,Stable,Rejected
PL100170,41,Salaried,Permanent,28500,5.3,3100,61000,2,Emergency,2,14300,11700,Owned,Very Stable,Rejected
PL100171,46,Self Employed,Self Employed,26200,6.2,1000,43000,1,Consumer Purchase,1,4600,20000,Owned,Moderate,Approved
PL100172,29,Professional,Permanent,36000,9.0,8900,359000,1,Home Renovation,1,27800,300,Rented,Stable,Rejected
PL100173,29,Salaried,Permanent,32900,1.5,7600,315000,5,Consumer Purchase,0,14300,10400,Rented,Moderate,Approved
PL100174,33,Salaried,Contract,21200,0.9,3700,168000,3,Debt Consolidation,2,5300,12500,Family Owned,Moderate,Rejected
PL100175,35,Private Employee,Permanent,28000,0.9,7600,147000,4,Wedding,2,9300,10300,Rented,Stable,Approved
PL100176,31,Professional,Permanent,41400,2.4,5800,306000,4,Home Renovation,0,18300,16300,Family Owned,Moderate,Approved
PL100177,53,Business Owner,Business,33800,33.0,4000,195000,1,Wedding,2,14200,14800,Family Owned,Very Stable,Approved
PL100178,37,Salaried,Permanent,50600,4.4,5500,343000,4,Medical,0,11300,32100,Rented,Moderate,Approved
PL100179,30,Salaried,Contract,43400,3.8,1000,150000,2,Debt Consolidation,1,19800,21500,Owned,Moderate,Approved
PL100180,41,Private Employee,Permanent,39900,13.8,5100,189000,2,Debt Consolidation,0,6300,29600,Family Owned,Moderate,Approved
PL100181,30,Government Employee,Permanent,16100,3.3,1800,30000,4,Wedding,0,9900,4800,Family Owned,Very Stable,Rejected
PL100182,28,Salaried,Permanent,67700,6.6,5000,247000,4,Emergency,1,21600,38400,Owned,Stable,Approved
PL100183,38,Government Employee,Permanent,35000,4.8,1500,266000,4,Travel,1,12500,22100,Owned,Moderate,Approved
PL100184,22,Salaried,Contract,44300,0.3,9400,126000,3,Debt Consolidation,3,24500,12400,Rented,Moderate,Rejected
PL100185,33,Salaried,Permanent,66700,12.0,12800,549000,2,Emergency,0,33500,21200,Owned,Stable,Approved
PL100186,26,Self Employed,Self Employed,37500,3.5,7600,245000,1,Debt Consolidation,1,20800,8900,Rented,Moderate,Rejected
PL100187,39,Government Employee,Permanent,14100,17.9,800,138000,5,Home Renovation,2,7500,5300,Owned,Unstable,Rejected
PL100188,33,Salaried,Permanent,14000,6.2,3200,58000,1,Medical,2,6300,5300,Rented,Moderate,Approved
PL100189,33,Private Employee,Contract,15700,2.6,2900,169000,4,Other Personal,0,3800,8600,Owned,Very Stable,Rejected
PL100190,22,Self Employed,Self Employed,19200,1.0,1400,131000,2,Home Renovation,2,3500,14100,Family Owned,Stable,Approved
PL100191,45,Salaried,Contract,54600,15.5,8500,82000,1,Medical,1,23200,19500,Owned,Very Stable,Approved
PL100192,32,Private Employee,Permanent,43800,8.0,0,229000,1,Other Personal,2,17400,27900,Rented,Stable,Approved
PL100193,32,Salaried,Permanent,37400,6.1,11100,245000,1,Consumer Purchase,0,19000,6600,Rented,Stable,Approved
PL100194,21,Government Employee,Permanent,29800,0.5,4300,212000,1,Debt Consolidation,0,9100,14600,Owned,Moderate,Rejected
PL100195,46,Business Owner,Business,67200,25.5,2600,171000,3,Home Renovation,1,18900,44500,Rented,Unstable,Approved
PL100196,32,Business Owner,Business,30600,2.3,7000,67000,4,Emergency,2,12100,12100,Owned,Stable,Rejected
PL100197,32,Private Employee,Permanent,16900,2.3,200,106000,1,Medical,2,6000,10800,Family Owned,Stable,Rejected
PL100198,49,Professional,Permanent,27500,6.2,4300,82000,2,Wedding,2,5600,17700,Family Owned,Moderate,Approved
PL100199,27,Private Employee,Permanent,45200,1.4,8200,168000,1,Wedding,4,19000,18900,Rented,Stable,Approved
PL100200,36,Government Employee,Permanent,41700,0.5,8300,472000,2,Wedding,2,30800,3000,Owned,Very Stable,Rejected
PL100201,44,Government Employee,Permanent,14000,9.5,1400,80000,3,Wedding,1,6000,7100,Owned,Stable,Rejected
PL100202,36,Private Employee,Permanent,29100,14.3,3300,207000,4,Consumer Purchase,1,16800,9900,Rented,Very Stable,Approved
PL100203,35,Salaried,Permanent,66400,11.7,17900,495000,1,Home Renovation,0,42700,4300,Rented,Moderate,Approved
PL100204,39,Private Employee,Contract,23200,2.9,3900,161000,1,Medical,2,10100,10000,Rented,Stable,Rejected
PL100205,39,Salaried,Permanent,22000,3.8,4400,259000,1,Consumer Purchase,1,10900,6500,Family Owned,Moderate,Rejected
PL100206,33,Salaried,Permanent,33600,7.4,1500,216000,2,Consumer Purchase,2,11700,20700,Rented,Very Stable,Approved
PL100207,40,Private Employee,Permanent,62500,14.9,10200,348000,4,Medical,4,16300,35600,Family Owned,Unstable,Approved
PL100208,44,Salaried,Contract,18500,4.8,2200,84000,2,Emergency,0,5800,11500,Owned,Very Stable,Approved
PL100209,33,Government Employee,Permanent,38400,2.6,0,347000,4,Debt Consolidation,3,24000,12900,Rented,Stable,Approved
PL100210,42,Private Employee,Permanent,27700,1.9,2300,154000,2,Home Renovation,1,10100,15800,Family Owned,Moderate,Approved
PL100211,55,Private Employee,Permanent,15600,30.4,1900,157000,1,Travel,2,6300,7600,Rented,Stable,Approved
PL100212,43,Government Employee,Permanent,31000,15.2,6400,114000,2,Consumer Purchase,3,9600,15200,Owned,Unstable,Approved
PL100213,35,Government Employee,Permanent,27200,3.8,0,48000,1,Consumer Purchase,2,12000,14200,Family Owned,Stable,Approved
PL100214,27,Business Owner,Business,34000,3.6,8500,331000,5,Wedding,2,18500,5800,Owned,Moderate,Rejected
PL100215,31,Private Employee,Permanent,24600,4.5,8900,38000,4,Other Personal,2,16700,-800,Owned,Unstable,Rejected
PL100216,28,Business Owner,Business,30300,3.9,4900,294000,2,Wedding,0,4500,19900,Rented,Moderate,Rejected
PL100217,32,Government Employee,Permanent,23400,3.4,1800,219000,5,Wedding,4,8900,14100,Owned,Very Stable,Rejected
PL100218,47,Government Employee,Permanent,60500,27.0,5500,555000,5,Emergency,2,30900,24900,Owned,Very Stable,Approved
PL100219,46,Self Employed,Self Employed,18900,14.8,0,87000,2,Emergency,2,10100,9400,Family Owned,Moderate,Approved
PL100220,52,Self Employed,Self Employed,32600,23.8,3000,205000,1,Medical,2,18600,10000,Rented,Unstable,Rejected
PL100221,28,Professional,Permanent,26000,2.5,0,213000,5,Consumer Purchase,2,9000,17700,Rented,Stable,Rejected
PL100222,34,Government Employee,Permanent,27400,3.3,3200,85000,3,Consumer Purchase,3,5000,20700,Owned,Stable,Approved
PL100223,21,Self Employed,Self Employed,30000,0.3,14300,282000,1,Wedding,4,18500,-2500,Owned,Unstable,Approved
PL100224,44,Self Employed,Self Employed,23700,13.3,5000,170000,5,Home Renovation,3,11500,7800,Family Owned,Stable,Rejected
PL100225,52,Salaried,Permanent,14000,15.0,1000,72000,2,Consumer Purchase,0,6000,7000,Owned,Moderate,Rejected
PL100226,26,Salaried,Permanent,61400,2.4,0,161000,2,Debt Consolidation,1,31800,28500,Rented,Stable,Approved
